reviewId,review,score,gender,location,date
1,The app is not loading when searching for music. Please fix issue. It fails to load when searching for music.,1,male,"Rome, Italy",2022-11-28
6,New update randomly only plays left channel. So annoying,1,male,"Budapest, Hungary",2022-11-20
16,Boo,1,male,"Seville, Spain",2022-11-29
56,I hate every thing about apple the wont even let me cancel a simple subscription,1,male,"Oslo, Norway",2022-11-29
78,Constantly turns itself on. Have to force stop it all the time. Poor design. Only have it because Verizon have me free access.,1,male,"Edinburgh, United Kingdom",2022-11-28
153,"So far, it feels slow and laggy, especially on desktop. It makes the experience less enjoyable.",1,male,"Hamburg, Germany",2022-12-28
198,"For me, it works best only within Apple devices. It gets frustrating after a while.",1,male,"Brussels, Belgium",2022-12-07
233,"One issue is that it feels slow and laggy, especially on desktop.",1,male,"Birmingham, United Kingdom",2022-12-03
254,"In my experience, managing playlists is more difficult than it should be. It makes the experience less enjoyable.",1,male,"Zurich, Switzerland",2022-11-27
288,"I wanted to like it, but it works best only within Apple devices. It ends up feeling clunky.",1,male,"Birmingham, United Kingdom",2022-12-13
294,"Personally, managing playlists is more difficult than it should be. It makes it harder to manage my music.",1,male,"Prague, Czech Republic",2022-12-08
312,What bothers me is that recommendations aren’t very accurate. It slows things down.,1,male,"Athens, Greece",2022-12-20
313,"In my experience, it feels slow and laggy, especially on desktop. It ends up feeling clunky.",1,male,"Amsterdam, Netherlands",2022-11-09
321,"Honestly, songs sometimes disappear or get duplicated. It slows things down.",1,male,"Dublin, Ireland",2022-11-23
399,"This app wouldn't let you play music. For playing music, sign in is required but this functionality is broken in Android app of Apple music. Tried 5 times but the app becomes unresponsive each time.",1,male,"Krakow, Poland",2022-12-18
409,The application is buggy. Always says that there's a problem with the network while Spotify works great with the same network (75mbps). I love the quality but please fix this asap.,1,male,"Milan, Italy",2022-12-25
435,"I don't use Apple devices anymore, but when I need to log in, I still need a verification code from my trusted device. It's such a headache",1,male,"Milan, Italy",2022-12-04
447,App is loggin me off frequently.,1,male,"Seville, Spain",2022-11-11
448,Login just goes round in circles. Hopeless.,1,male,"Zurich, Switzerland",2022-11-13
469,I don't know when or how I subscribed to this app. Please return the money you took from my credit card and cancel any subscription. I am reporting to my local security agency. Please refund my money. I have no use for your app.,1,male,"Edinburgh, United Kingdom",2022-12-01
506,I don't want Apple Music on my cell phone!,1,male,"Helsinki, Finland",2022-12-08
601,"Swaps out the previously explicit version on new playlist and playlist imported from Spotify. Thanks for trying to save my innocence Apple, but give it a rest. Also playlist interaction sucks compared to Spotify. Literally the only thing good about this is the music quality. Spotify wins in every other aspect.",1,male,"Valencia, Spain",2022-11-24
628,"This is the Second time I this, I started my subscription again and it tells me all my music is unavailable therefore I have to search each song again and manually add to library AGAIN, I'm not doing that again. Canceling my subscription after this month forever and switching to Amazon music. Thanks apple.",1,male,"Frankfurt, Germany",2022-12-03
644,Keeps kicking me out,1,male,"Helsinki, Finland",2022-12-18
659,"NEVER TRUST PLATFORMS THAT MAKE YOU SET UP A PAYMENT METHOD WHEN YOU'RE ON A TRIAL PERIOD. I remember distinctly that I had cancelled my subscription way before my trial ended. That means I shouldn't have to pay the subscription amount. But guess what? On the day my trial ended, they conveniently deducted Rs. 119 through e-mandate from my account. And as an unsuspecting customer, I have no screenshot of me cancelling the subscription, which means I can't make any claims for my money.",1,male,"Milan, Italy",2022-12-25
660,Trying to cancel my subscription but it won't open up the Apple Music,1,male,"Prague, Czech Republic",2022-11-10
668,I can't sign in after creating an account. It's stuck on the Apple ID & Privacy screen. It doesn't let me press continue.,1,male,"Barcelona, Spain",2022-12-04
671,Where does all our money from our subscriptions go to? As much money as customers pay Apple you would think they would have a better support team and overall app.,1,male,"Geneva, Switzerland",2022-12-14
721,very lund app,1,male,"Athens, Greece",2022-12-29
774,seriously the algorithm sucks,1,male,"Athens, Greece",2022-12-16
777,"Where has all my money gone, spent over the years, pound after pound on buying music and videos now where is has it gone, do I get a refund ....",1,male,"Frankfurt, Germany",2022-11-10
790,I can't create account because am using Android phone,1,male,"Birmingham, United Kingdom",2022-12-17
804,You guys are very annoying honestly. You keep streesing someone as if your whole life depend on it. Make this it easy for us to access u are busy asking Mastercard numbers... Please revisit your your product & make it easy for us..,1,male,"Lisbon, Portugal",2022-12-09
812,Only got it to join a friend's playlist. This function does not work.,1,male,"Rome, Italy",2022-11-17
841,NO RESPONSE FROM THIS APPLICATION? MI TELEFO OTROS. TÚ APPLICATION MADE MI MOBI TELEFO MÁS MUERTE!🤳🏽🙏🏽 MI SEÑOR DE YA SALVADOR JESUCRISTO 🙏🏽. YES I ALSO SPEAK ENGLISH AS MY MAIN LANGUAGE! I'M VERY ANGRY! MY CARRIER HAD TO WALK ME THRU A ½ RESET! THE PHONE DIDN'T WORK! I COULDN'T MAKE OR RECEIVE ANY PHONE CALLS. MY NURSE HAD TO SHOW UP UNANNOUNCED TO DRAW BLOOD. MY MEDICINE ALARM DIDN'T WORK. NOT UNTIL I DID WHAT I COULD AND DUMP THE 🍏 💩!,1,male,"Budapest, Hungary",2022-11-10
868,With security keys enabled on apple id it will not allow sign in.,1,male,"Munich, Germany",2022-12-25
874,"I haven't been able to use this app at all for 4 days. Verizon can't get it figured out and Apple don't know what's going on. I loved this app. Very, very disappointed.",1,male,"Rome, Italy",2022-11-17
