Palabra,Frecuencia,Sentimiento_Promedio
apple,1799,-1.0
subscription,659,-1.0
play,583,-1.0
android,566,-1.0
account,485,-1.0
payment,357,-1.0
work,318,-1.0
listen,311,-1.0
cancel,302,-1.0
spotify,293,-1.0
library,292,-1.0
update,286,-1.0
phone,261,-1.0
sign,234,-1.0
back,234,-1.0
free,227,-1.0
playlist,221,-1.0
download,220,-1.0
money,210,-1.0
without,208,-1.0
device,198,-1.0
access,194,-1.0
trying,193,-1.0
month,190,-1.0
service,189,-1.0
experience,181,-1.0
playing,174,-1.0
playlists,169,-1.0
option,167,-1.0
downloaded,167,-1.0
issue,160,-1.0
itunes,160,-1.0
password,159,-1.0
method,159,-1.0
working,151,-1.0
trial,141,-1.0
paid,138,-1.0
support,137,-1.0
login,135,-1.0
unable,134,-1.0
years,133,-1.0
reason,132,-1.0
open,130,-1.0
quality,128,-1.0
works,125,-1.0
devices,121,-1.0
subscribe,119,-1.0
google,118,-1.0
iphone,116,-1.0
page,113,-1.0
load,113,-1.0
paying,110,-1.0
purchased,101,-1.0
album,98,-1.0
apps,98,-1.0
getting,98,-1.0
code,96,-1.0
stop,95,-1.0
family,94,-1.0
help,93,-1.0
days,92,-1.0
create,92,-1.0
find,91,-1.0
issues,89,-1.0
bugs,89,-1.0
search,89,-1.0
plan,87,-1.0
user,86,-1.0
hard,85,-1.0
months,85,-1.0
available,83,-1.0
card,82,-1.0
albums,81,-1.0
email,80,-1.0
randomly,80,-1.0
company,79,-1.0
sound,78,-1.0
crashes,78,-1.0
locked,78,-1.0
screen,77,-1.0
streaming,76,-1.0
constantly,76,-1.0
samsung,74,-1.0
error,74,-1.0
garbage,72,-1.0
listening,72,-1.0
version,71,-1.0
people,71,-1.0
users,70,-1.0
loading,69,-1.0
customer,68,-1.0
start,68,-1.0
plays,67,-1.0
said,67,-1.0
wrong,66,-1.0
difficult,65,-1.0
less,65,-1.0
stupid,65,-1.0
data,65,-1.0
button,65,-1.0
longer,64,-1.0
stars,64,-1.0
features,64,-1.0
stops,64,-1.0
waste,64,-1.0
buggy,63,-1.0
made,63,-1.0
show,62,-1.0
interface,62,-1.0
bought,62,-1.0
audio,62,-1.0
manage,62,-1.0
slow,61,-1.0
delete,61,-1.0
stuck,61,-1.0
charged,60,-1.0
harder,60,-1.0
saying,59,-1.0
switch,59,-1.0
monthly,59,-1.0
wifi,58,-1.0
store,58,-1.0
auto,57,-1.0
subscriptions,57,-1.0
queue,57,-1.0
unless,56,-1.0
shows,55,-1.0
order,55,-1.0
takes,55,-1.0
verification,54,-1.0
install,54,-1.0
multiple,53,-1.0
feature,52,-1.0
recently,51,-1.0
click,51,-1.0
youtube,51,-1.0
crashing,50,-1.0
allow,50,-1.0
signed,50,-1.0
long,49,-1.0
latest,49,-1.0
reset,49,-1.0
full,49,-1.0
turn,49,-1.0
remove,49,-1.0
awful,48,-1.0
worth,48,-1.0
products,48,-1.0
impossible,48,-1.0
uninstalled,48,-1.0
