Palabra,Frecuencia,Sentimiento_Promedio
apple,3175,-0.47086614173228347
android,1086,-0.49171270718232046
play,911,-0.8309549945115258
subscription,888,-0.8783783783783784
quality,692,0.4393063583815029
spotify,684,-0.20175438596491227
account,607,-0.9406919275123559
library,537,-0.5605214152700186
work,524,-0.8244274809160306
experience,523,-0.0248565965583174
payment,511,-0.9178082191780822
listen,509,-0.5363457760314342
phone,447,-0.668903803131991
update,433,-0.8060046189376443
cancel,406,-0.9507389162561576
works,394,0.04060913705583756
playlist,384,-0.703125
free,377,-0.6976127320954907
download,367,-0.5803814713896458
audio,366,0.41530054644808745
sound,346,0.3179190751445087
back,340,-0.7529411764705882
sign,319,-0.9561128526645768
playlists,315,-0.4222222222222222
service,315,-0.5111111111111111
without,305,-0.7114754098360656
playing,292,-0.773972602739726
money,291,-0.8969072164948454
working,288,-0.8263888888888888
devices,284,-0.3380281690140845
device,283,-0.7667844522968198
month,278,-0.7122302158273381
option,264,-0.7575757575757576
trying,261,-0.8314176245210728
access,259,-0.8687258687258688
lossless,255,0.4823529411764706
streaming,253,0.14624505928853754
downloaded,239,-0.8744769874476988
issue,236,-0.7966101694915254
iphone,232,-0.31896551724137934
itunes,226,-0.7964601769911505
listening,223,-0.004484304932735426
years,221,-0.502262443438914
method,217,-0.9354838709677419
support,213,-0.6619718309859155
password,211,-0.95260663507109
apps,205,-0.36585365853658536
open,203,-0.8719211822660099
unable,202,-0.9306930693069307
paid,190,-0.9052631578947369
trial,188,-0.7659574468085106
google,188,-0.6170212765957447
reason,184,-0.8478260869565217
search,180,-0.4444444444444444
album,179,-0.6201117318435754
login,178,-0.9887640449438202
find,169,-0.40828402366863903
load,164,-0.9146341463414634
user,163,-0.37423312883435583
subscribe,162,-0.9629629629629629
stop,160,-0.85
issues,154,-0.6233766233766234
bugs,154,-0.6753246753246753
available,152,-0.40789473684210525
paying,143,-0.9300699300699301
samsung,143,-0.38461538461538464
interface,143,-0.07692307692307693
help,141,-0.7163120567375887
page,140,-0.9142857142857143
getting,138,-0.7681159420289855
create,138,-0.7681159420289855
family,138,-0.6956521739130435
version,129,-0.5503875968992248
code,129,-0.9534883720930233
albums,129,-0.7829457364341085
days,125,-0.856
crashes,122,-0.9344262295081968
hard,120,-0.7333333333333333
purchased,118,-0.9661016949152542
plan,118,-0.7457627118644068
easy,117,0.4358974358974359
randomly,117,-0.9658119658119658
constantly,116,-0.9482758620689655
users,115,-0.6173913043478261
screen,114,-0.7719298245614035
buggy,113,-0.911504424778761
application,113,-0.11504424778761062
plays,113,-0.7345132743362832
features,111,-0.40540540540540543
feature,108,-0.37037037037037035
people,106,-0.6792452830188679
card,106,-0.8867924528301887
made,106,-0.5094339622641509
error,106,-0.9622641509433962
garbage,105,-0.9619047619047619
company,105,-0.8285714285714286
start,105,-0.8095238095238095
crashing,105,-0.9428571428571428
data,104,-0.8461538461538461
slow,102,-0.8823529411764706
months,101,-0.801980198019802
loading,101,-0.9405940594059405
stars,101,-0.5445544554455446
simple,100,0.2
email,100,-0.94
less,99,-0.8383838383838383
platform,96,0.22916666666666666
worth,95,-0.28421052631578947
button,94,-0.7659574468085106
youtube,94,-0.40425531914893614
recently,93,-0.6129032258064516
offline,92,-0.45652173913043476
artists,92,-0.2608695652173913
locked,92,-0.9565217391304348
stops,90,-0.9111111111111111
store,89,-0.7752808988764045
switch,88,-0.7045454545454546
monthly,87,-0.7701149425287356
auto,87,-0.9080459770114943
saying,87,-0.8620689655172413
shows,86,-0.813953488372093
favorite,86,0.20930232558139536
customer,86,-0.9069767441860465
difficult,85,-0.8352941176470589
wrong,85,-0.9058823529411765
said,85,-0.8588235294117647
show,85,-0.8588235294117647
sounds,84,0.5
stupid,84,-1.0
artist,84,-0.38095238095238093
wifi,83,-0.9036144578313253
full,83,-0.6144578313253012
takes,83,-0.8313253012048193
lyrics,82,0.24390243902439024
premium,80,-0.275
player,80,-0.075
long,80,-0.7
delete,80,-0.875
longer,80,-0.925
waste,80,-1.0
manage,80,-0.95
install,79,-0.8227848101265823
services,79,-0.4177215189873418
harder,79,-1.0
queue,79,-0.8987341772151899
bought,78,-0.8717948717948718
allow,78,-0.8717948717948718
high,78,0.1282051282051282
internet,78,-0.8461538461538461
radio,77,0.16883116883116883
