reviewId,review,score,gender,location,date
3683,it has very good music but there are just too many ads and you cannot even skip songs endlessly,2,male,"Warsaw, Poland",2018-01-10
3685,It's very good to use and all but after a few months using it it keeps stopping and kicking me out of the app,2,male,"Prague, Czech Republic",2018-07-20
3686,"Untuk download offline saja harus premium. playlist harus premium. Iklan masih bisa diterima, tapi mending geser ke sebelah yang lebih free user friendly.",2,male,"Manchester, United Kingdom",2018-07-20
3690,"The user interface is ok at best (pretty bad if you listen to podcasts) but the algorithms within the app are horrible. Shuffle doesn't actually randomly shuffle, if you want to listen to certain genres (metal or hard rock for example) Spotify softens the results. It's a shame there isn't other good competitors to this app as it needs some innovation",2,male,"Zurich, Switzerland",2018-08-23
3694,lost option for lyrics,2,male,"Marseille, France",2018-03-18
3696,quality of sound not as good as gaana app. app navigation also not user friendly,2,male,"Seville, Spain",2018-02-28
3700,Monthly subscription must be ₹99 not ₹119 it's expensive if it would have been ₹99 I would have purchased it !,2,male,"Munich, Germany",2018-06-22
3705,why the ads are not loading i can't listen to the music now?,2,male,"Munich, Germany",2018-10-03
3710,"ads are still way to common, I just want to listen to music, not a 30 second ad that promises no inturuptions for 30 minutes, then a song after that ad, and then an ad after that song. Also the like or dislike feature for ads suck, if you dislike it, then it appears more often but if you like it, guess what, it appears more often.",2,male,"Stockholm, Sweden",2018-02-07
3712,"Okay so the app updated or something and my previous issue with shuffle deleting my queue is fixed...but if I view the album/song playing, the entire app crashes. No amount of uninstalling to reinstall, force stopping, or device restart is fixing the hiccup. 🤔",2,male,"Amsterdam, Netherlands",2018-11-19
3717,it's bad,2,male,"Milan, Italy",2017-12-08
3723,why doesn't a music app that claims to have so many songs doesn't have music iD sometimes I listen to music i id on Shazam that deserves to be on Spotify,2,male,"Copenhagen, Denmark",2018-03-29
3732,TOOO MUCH ADS THE FREE APP SUCKS FR MONEY HUNGARY APP,2,male,"Prague, Czech Republic",2018-01-01
3737,ever since the April 30th update the notification bar to skip or fast-forward is completely unresponsive and my searched songs don't play similar songs after playing the searched song. suddenly having issues with it playing in the middle of the night while the app is off.,2,male,"Hamburg, Germany",2018-02-02
3744,why is it so greedy 😭😭... need premium for basically every feature 😭😭,2,male,"Tel Aviv, Israel",2018-12-18
3745,"ads,lyrics,skip problem",2,male,"Seville, Spain",2018-07-11
3746,I laoike listninghs two music bat I don't like ads,2,male,"Seoul, South Korea",2018-12-15
3747,nightmare for non premium users..use if you buy the premium version otherwise not at all,2,male,"Birmingham, United Kingdom",2018-11-16
3751,why do I keep getting Spanish ads if I don't speak Spanish and keep thumbs downing them. like wow a company that doesn't listen to the fans that's normal nowadays,2,male,"Berlin, Germany",2018-02-07
3758,mehhh,2,male,"Edinburgh, United Kingdom",2018-03-19
3765,"Honestly, I prefer this over any other kind of streaming platform. He designing is nice and all, but the problem is: you need to pay to literally do anything. This platform is so greedy, wanting money just so I can skip the bad music they automatically play for me, not even from the album or Playlist I've chosen to listen to - offering solutions to the problems they themselves purposefully created? I just hope this changes, because alot of people I know are now uninstalling spotify.",2,male,"Marseille, France",2018-05-06
3772,It keeps crashing and restarting the songs. I've got no idea how to fix it,2,male,"Lisbon, Portugal",2018-05-29
3773,app is super laggy on s24 ultra. might take a minute before it recognizes a skip,2,male,"Berlin, Germany",2018-11-05
3785,stop the automatic play when I get in my car I'm so tired of the constant as soon as my phone connects to Bluetooth bam music has to start regardless if the app is open or not it's the worst thing about the app I've tried every setting and help video and nothing works I may just delete the app and cancel my subscription that's how annoying it is,2,male,"Helsinki, Finland",2017-12-21
3791,BRING BACK THE CLEAR QUEUE BUTTON NOW,2,male,"Edinburgh, United Kingdom",2018-09-13
3793,"Good, but the ads are loud, annoying, and too many. It's starting to lag my phone when I open the app.",2,male,"Manchester, United Kingdom",2018-03-08
3795,"it's okay, but could be MUCH better. without premium you can't play songs you want, turn off shuffle and there is 3 ads after LITERALLY EVERY SINGLE SONG. I also hate that you can't restart songs or skip more than 5 without premium.",2,male,"Shenzhen, China",2018-12-06
3809,won't let me play songs in alphabetical order. but I can sort them alphabetically. I play alphabetical bc shuffle isn't random and doesn't include a lot of less known/played music. really annoying,2,male,"Zurich, Switzerland",2018-02-17
3820,"The app's been crashing every time I open a song with full screen to view the lyrics. This has never happened before, and I'm a premium user.",2,male,"Taipei, Taiwan",2018-12-02
3822,Idk why suddenly its not playing music it happens everytime I download this app,2,male,"Berlin, Germany",2018-07-24
3823,App keeps fast forwarding or rewinding podcast episodes randomly to stuff that's already past or hasn't been heard. Extremely annoying when trying to listen to content cohesively,2,male,"Birmingham, United Kingdom",2018-05-14
3854,it plays the song thats not on my playlist even though i have more than 20 song in my playlist it still play the song the song that i dont want but similar to my playlist,2,male,"Helsinki, Finland",2018-11-12
3856,"First, this is a bug report. Your support website is trash. Fix this bug! Love Spotify services in general, but the app has been very buggy since spring 2024. It crashes the first time I click on New Episodes, every time. It usually freezes and crashes when I start a podcast. I usually have to force quit the app 2-5x. I've done multiple clean installs, and even have a new phone, and the issues are persistent. Fix your buggy app!",2,male,"Glasgow, United Kingdom",2018-08-05
3860,episodes. STOP SKIPPING ME FROM 6 TO 12 OR 6 TO 15!!!! STOP IT!!!!!!!!!!!! STOP SKIPPING ME TO OLDER EPISODES IM NOT SUPPOSED TO BE ON!!!!,2,male,"Rome, Italy",2018-09-12
3864,"Constantly locks me out of my library with an infinite loading screen and the mix button doesn't work, it'll repeat the exact same rotation unless you close the app and reshuffle.",2,male,"Berlin, Germany",2018-05-03
3866,it just doesn't work on my phone,2,male,"Frankfurt, Germany",2018-03-31
3868,"premium premium for everything , for choosing my song , for skipping a part and all . I think I should delete the app 😡",2,male,"Athens, Greece",2018-08-21
3872,to many ads make me angry 😡,2,male,"Frankfurt, Germany",2018-01-12
3874,It was working fine for about 2 weeks and then i logged on to listen to music and it wouldn't let me play the song and don't know if it was something about the fact that I didn't have gremlin of it's down,2,male,"Bangalore, India",2018-12-28
3875,"this app used to work well for me. for the last few months, it opens in its own and starts playing music that 1) I don't listen to 2) that is really loud. My husband I have been woken up multiple times with this happening when we were sleeping or when I first unplug from phone from the charger. It has happened a few times when I have been using my phone too. I have deleted and installed it a few times now to no available. The next time it happens, Im canceling premium and deleting the app.",2,male,"Phuket, Thailand",2018-12-01
3878,I will be happy if I will be able to play songs in my watch (speakers),2,male,"Stockholm, Sweden",2017-11-03
3904,allow to play songs directly from spotify on Samsung music app,2,male,"Singapore, Singapore",2018-12-13
3906,"UPDATE Rapidly losing utility. Looking for a better podcatcher Recent updates make it hard to figure out what podcast episodes are available - they insist on showing ""bonus"" content that is behind a paywall. Not super into the shuffle aspect. I don't mind the adds, but I do mind that I can't listen to an album in the correct order",2,male,"Warsaw, Poland",2018-10-21
3914,"good for music. have had premium for 10+ years, please stop pushing podcasts and books on my home page. let me disable it, I just want music 99.9% of the time. if I want something else I'll go find it. the home screen on the app is so cluttered and annoying with videos of people talking on my MUSIC app. please lol",2,male,"Rome, Italy",2018-02-18
3916,Never actually gives you 30 minutes of uninterrupted listening as they state. Ads are repetitive and annoying. Better to download music to your device than use this app!,2,male,"Copenhagen, Denmark",2018-04-17
3921,it was fine until they started taking more money than they were supposed to not fair at all I LOVE my Dj X but now I'm totally frustrated 😤!!!!,2,male,"Geneva, Switzerland",2018-10-12
3924,I am disappoint with this aap because when i listen songs in speaker there is many lags while listening but instead of listening of speaker there is no lag im diappoint with this please try to fix this it is important to fix otherwise it can decrease your ratings fix laging and remove premiums,2,male,"Prague, Czech Republic",2018-05-05
3925,"only one flaw, (for me the biggest flaw in this app is) that when I wanna play songs from any of my playlists it doesn't play all the songs just selects some specific songs and repeats them in shuffle mode it's not convenient at all, I've tried all the ways to not let it happen, kindly go through the concern",2,male,"Oslo, Norway",2017-12-10
3935,makin lama makin kikir aja,2,male,"Amsterdam, Netherlands",2018-09-02
3939,new UI is a complete downgrade. Why would arist singles and albums not be easily viewable from their page?,2,male,"Edinburgh, United Kingdom",2018-02-25
