Palabra,Frecuencia,Sentimiento_Promedio
spotify,456,1.0
listen,225,1.0
premium,193,1.0
listening,166,1.0
experience,162,1.0
free,121,1.0
play,105,1.0
works,95,1.0
easy,91,1.0
playlists,90,1.0
years,86,1.0
favorite,79,1.0
playlist,77,1.0
podcasts,67,1.0
simple,65,1.0
without,65,1.0
download,59,1.0
find,57,1.0
recommend,56,1.0
phone,53,1.0
devices,52,1.0
version,52,1.0
adds,51,1.0
streaming,49,1.0
quality,41,1.0
platform,40,1.0
recommendations,40,1.0
service,39,1.0
stars,37,1.0
update,37,1.0
discover,37,1.0
playing,36,1.0
apps,36,1.0
useful,35,1.0
lyrics,35,1.0
artists,35,1.0
personalized,34,1.0
offline,34,1.0
worth,33,1.0
subscription,32,1.0
highly,31,1.0
huge,31,1.0
hear,30,1.0
friends,30,1.0
option,29,1.0
audio,29,1.0
long,28,1.0
back,28,1.0
fast,28,1.0
reliable,27,1.0
selection,27,1.0
variety,27,1.0
seamless,27,1.0
available,26,1.0
spot,26,1.0
world,25,1.0
playback,25,1.0
effortlessly,25,1.0
work,25,1.0
week,24,1.0
sound,24,1.0
everyday,24,1.0
life,24,1.0
sharing,24,1.0
family,24,1.0
catalog,23,1.0
youtube,23,1.0
genres,21,1.0
gives,21,1.0
people,21,1.0
feature,21,1.0
artist,20,1.0
place,20,1.0
account,20,1.0
features,20,1.0
heard,19,1.0
user,19,1.0
application,18,1.0
create,18,1.0
plays,18,1.0
money,18,1.0
plus,18,1.0
found,17,1.0
shuffle,17,1.0
downloaded,17,1.0
enjoying,17,1.0
little,16,1.0
library,16,1.0
made,16,1.0
search,16,1.0
data,16,1.0
daily,16,1.0
help,16,1.0
everyone,15,1.0
live,15,1.0
podcast,15,1.0
options,15,1.0
lists,15,1.0
fixed,15,1.0
wide,15,1.0
screen,14,1.0
interface,14,1.0
trying,14,1.0
apple,14,1.0
pandora,14,1.0
turn,14,1.0
mood,14,1.0
look,14,1.0
books,14,1.0
sounds,14,1.0
issue,13,1.0
album,13,1.0
show,13,1.0
list,13,1.0
fact,13,1.0
high,13,1.0
looking,13,1.0
player,13,1.0
genre,13,1.0
getting,13,1.0
edit,12,1.0
month,12,1.0
smooth,12,1.0
loved,12,1.0
five,12,1.0
anywhere,12,1.0
easily,12,1.0
choice,12,1.0
stop,12,1.0
kind,12,1.0
coming,12,1.0
come,12,1.0
seen,12,1.0
literally,12,1.0
totally,11,1.0
paying,11,1.0
open,11,1.0
commercials,11,1.0
minutes,11,1.0
lots,11,1.0
others,11,1.0
issues,11,1.0
crashing,11,1.0
working,11,1.0
stuff,11,1.0
access,11,1.0
played,11,1.0
taste,11,1.0
rate,11,1.0
wanna,10,1.0
