review,sentiment,Polaridad_Clustering,Topic_ID,Palabras_Clave,location,gender,date
Nice app,positivo,positivo,0,"free, time, week, service, lovers, everyday, youtube, collection","Marseille, France",male,2012-02-28
best for music all songs are getting here,positivo,positivo,0,"free, time, week, service, lovers, everyday, youtube, collection","Amsterdam, Netherlands",male,2012-09-16
Best app for music. Even the free version has plenty of songs. Ads are a bit frequent.,positivo,positivo,5,"devices, podcasts, selection, phone, update, offline, mood, problems, list","Rome, Italy",male,2012-05-19
good,positivo,positivo,0,"free, time, week, service, lovers, everyday, youtube, collection","Seattle, United States",male,2014-10-19
it just unsubscribed me from premium and has debited me twice for this month and I'm about to pay again this month . why ?,positivo,positivo,3,"recommendations, reliable, favourite, application, player, audio, data","Valencia, Spain",male,2012-03-22
The reason why I put it as ⭐⭐⭐⭐ is bc when u want to get to the next song it doesn't let u so you have to listen to the one that you hate or just dislike idk maybe for me it's like that than someone give me help 😭 but if it isn't than! FIX IT! 😠,positivo,positivo,0,"free, time, week, service, lovers, everyday, youtube, collection","Cape Town, South Africa",male,2013-10-07
"it gets stuck all the time , too much ads",positivo,positivo,0,"free, time, week, service, lovers, everyday, youtube, collection","Prague, Czech Republic",male,2012-07-17
Good,positivo,positivo,0,"free, time, week, service, lovers, everyday, youtube, collection","Mombasa, Kenya",male,2013-11-28
"it's great but suddenly my app closes when i repeat the song once or even sometimes at random, it's getting annoying",positivo,positivo,0,"free, time, week, service, lovers, everyday, youtube, collection","Vancouver, Canada",male,2015-01-06
arjit singh...💟,positivo,positivo,0,"free, time, week, service, lovers, everyday, youtube, collection","Phuket, Thailand",male,2013-08-22
that's a delicious app that give me too much my favourite songs and I like this that and this is my one of the best app which have I used so I give it 4 and half stars 🤩😍😍,positivo,positivo,3,"recommendations, reliable, favourite, application, player, audio, data","Auckland, New Zealand",female,2016-05-31
great music app but the widget does not change color like its supposed to,positivo,positivo,0,"free, time, week, service, lovers, everyday, youtube, collection","Abuja, Nigeria",male,2013-12-09
best but some lyrics are not there,positivo,positivo,2,"playlists, enjoyable, personalized, lyrics, problem, available, work, features","Suva, Fiji",female,2016-08-10
please remove limit of skipping songs,positivo,positivo,1,"quality, friends, catalog, apps, download, user, podcast, sound, money, option","Montevideo, Uruguay",female,2016-01-09
I don't know if it's my algorithm but live streaming ain't smooth lately.,positivo,positivo,4,"platform, fast, playback, sound, streaming, greatest","Munich, Germany",male,2012-05-20
"overall good app, but they really didn't needed to put adds for us to buy premium, like the adds are literally about how adds interrupt your music. Like it kinda doesn't make sense. But overall very good app, good job👍.",positivo,positivo,4,"platform, fast, playback, sound, streaming, greatest","Frankfurt, Germany",male,2012-04-26
yeah just put more things in the normal,positivo,positivo,5,"devices, podcasts, selection, phone, update, offline, mood, problems, list","Dublin, Ireland",male,2012-06-20
Spotify is just amazing with its excellent software and Best bass bossted Sound qualifies Songs best 100% Clarity the disgusting thing is its premium without premium spotify of no use. So only 4 Stars.,positivo,positivo,4,"platform, fast, playback, sound, streaming, greatest","Chicago, United States",male,2015-01-31
Nice app,positivo,positivo,0,"free, time, week, service, lovers, everyday, youtube, collection","Medellín, Colombia",male,2015-04-28
nice,positivo,positivo,0,"free, time, week, service, lovers, everyday, youtube, collection","Bogotá, Colombia",female,2015-11-13
great platform with decent recommendations but you need premium to fully enjoy the app.,positivo,positivo,6,"useful, seamless, devices, choice, subscription, variety, options, clear, family","Jacksonville, United States",male,2014-08-02
"4.5 , as this is really a great app but .5 less b'coz some songs are not available in this region (in my country India). Please make more songs available here as well like other countries. - 25.06.2020 Edit: All good 👍🏻",positivo,positivo,2,"playlists, enjoyable, personalized, lyrics, problem, available, work, features","New York, United States",male,2015-04-10
