reviewId,review,score,gender,location,date,sentiment,Tópico_Dominante
8058,It might be good,4,male,"Chicago, United States",2019-05-16,positivo,0
8059,"I hope that, apple notes also available for Android.",4,male,"Rabat, Morocco",2018-03-20,positivo,2
8060,You just got me all on my video tube,4,male,"Mexico City, Mexico",2018-07-29,positivo,1
8061,Update,4,male,"Los Angeles, United States",2019-06-22,positivo,0
8062,Exceptional,4,male,"Quebec City, Canada",2018-11-10,positivo,2
8063,Better than spotify because u can download songs individually not in batches. Not a 5 star yet because their recommendation game isn't as strong yet,4,male,"Lusaka, Zambia",2018-05-17,positivo,0
8064,So far so good,4,female,"San Jose, United States",2019-08-26,positivo,0
8065,"Definitely the best music streaming service. But the Android app is very glitchy. Especially when it comes to lyrics. Other than that, this is the best music streaming service and I definitely recommend.",4,male,"New York, United States",2019-03-07,positivo,2
8066,"Could you please develop something that means that I don't have to hold a song and drag it up past over a thousand songs in a playlist for instance, a move to top button. It would be really be helpful, or select multiple then move to top..... reordering is a drawn out process when it doesn't need to be 👌🏼",4,male,"Rabat, Morocco",2018-05-30,positivo,1
8067,"Love the lossless audio experience, But the ""special audio/ Dolby Atmos"" many times it ruins the song instead of improving... It's start creaking & gives choppy audio. Honestly it's uncomfortable to even hear. In short improve Dolby Atmos ,Everything else is Super Great 👍",4,female,"Fortaleza, Brazil",2019-10-26,positivo,2
8068,Great even on android,4,male,"Delhi, India",2018-02-09,positivo,1
8069,On. .......6. ...,4,male,"Ottawa, Canada",2019-04-29,positivo,0
8070,Rich,4,female,"Bogotá, Colombia",2020-01-17,positivo,2
8071,"music quality is good, but the UI is not the best",4,female,"Valparaíso, Chile",2019-10-05,positivo,2
8072,Gudiya. Kumari ka,4,male,"Tijuana, Mexico",2019-05-26,positivo,1
8073,"I honestly have no complaints with this service or app, and I've been using it for a few years now.. the only app I'll compare it to is YouTube music. I don't see anything else that can be held on such a high level for a music lover.",4,male,"Denver, United States",2019-08-14,positivo,2
8074,"great when it works, but absolutely horrible otherwise",4,female,"São Paulo, Brazil",2019-11-26,positivo,1
8075,What a good app Used to acquire great inspiring songs.,4,male,"Cancun, Mexico",2019-07-10,positivo,1
8076,I can listen to my favorite songs and without ad's but sometimes it randomly starts playing but I love this app it includes relax for your calm days it has kid music so you're kids don't complain and so much more I use this app every day ty apple music for helping me though something with sad songs ps if you are iffy on install please just listen to your heart,4,female,"Wellington, New Zealand",2020-02-02,positivo,2
8077,superb👌🏻,4,male,"Houston, United States",2018-10-21,positivo,2
8078,"it's one of the biggest music apps so far, it's a nice app, you will love it",4,female,"Brisbane, Australia",2020-02-29,positivo,2
8079,It a nice app and it fast,4,male,"Washington DC, United States",2018-11-28,positivo,0
