Palabra,Frecuencia,Sentimiento_Promedio
apple,271,-1.0
play,156,-1.0
android,130,-1.0
playlist,83,-1.0
work,74,-1.0
update,73,-1.0
library,71,-1.0
subscription,69,-1.0
playing,64,-1.0
phone,57,-1.0
spotify,57,-1.0
account,54,-1.0
quality,49,-1.0
listen,43,-1.0
working,43,-1.0
payment,41,-1.0
playlists,40,-1.0
back,40,-1.0
works,39,-1.0
stop,39,-1.0
album,39,-1.0
downloaded,37,-1.0
audio,36,-1.0
sign,36,-1.0
issue,36,-1.0
download,35,-1.0
free,33,-1.0
randomly,33,-1.0
device,31,-1.0
option,30,-1.0
sound,29,-1.0
plays,27,-1.0
cancel,27,-1.0
service,26,-1.0
experience,26,-1.0
apps,26,-1.0
constantly,26,-1.0
reason,26,-1.0
albums,26,-1.0
listening,25,-1.0
search,25,-1.0
iphone,24,-1.0
unable,24,-1.0
trying,24,-1.0
support,24,-1.0
bugs,24,-1.0
month,24,-1.0
streaming,24,-1.0
access,23,-1.0
devices,23,-1.0
without,23,-1.0
money,22,-1.0
open,22,-1.0
recently,22,-1.0
buggy,22,-1.0
start,22,-1.0
issues,22,-1.0
itunes,22,-1.0
password,21,-1.0
auto,21,-1.0
load,21,-1.0
crashing,21,-1.0
cache,21,-1.0
version,21,-1.0
years,20,-1.0
google,20,-1.0
help,19,-1.0
random,19,-1.0
data,19,-1.0
feature,19,-1.0
crashes,18,-1.0
paying,18,-1.0
click,18,-1.0
internet,18,-1.0
stops,17,-1.0
shows,17,-1.0
family,17,-1.0
queue,17,-1.0
mobile,17,-1.0
screen,16,-1.0
autoplay,16,-1.0
days,16,-1.0
samsung,16,-1.0
subscribe,16,-1.0
lossless,15,-1.0
track,15,-1.0
tracks,15,-1.0
plan,15,-1.0
find,15,-1.0
running,15,-1.0
slow,15,-1.0
saying,15,-1.0
available,15,-1.0
paid,15,-1.0
long,14,-1.0
getting,14,-1.0
played,14,-1.0
latest,14,-1.0
allow,14,-1.0
problems,14,-1.0
pixel,14,-1.0
made,14,-1.0
method,14,-1.0
turn,14,-1.0
recent,13,-1.0
multiple,13,-1.0
takes,13,-1.0
trial,13,-1.0
artist,13,-1.0
volume,13,-1.0
store,13,-1.0
started,13,-1.0
soon,13,-1.0
code,13,-1.0
force,13,-1.0
phones,13,-1.0
offline,13,-1.0
artists,13,-1.0
added,13,-1.0
user,12,-1.0
several,12,-1.0
connected,12,-1.0
fixed,12,-1.0
users,12,-1.0
wifi,12,-1.0
gone,12,-1.0
button,12,-1.0
broken,12,-1.0
completely,12,-1.0
content,12,-1.0
happens,11,-1.0
reset,11,-1.0
error,11,-1.0
page,11,-1.0
connection,11,-1.0
shuffle,11,-1.0
switch,11,-1.0
simply,11,-1.0
stopped,11,-1.0
player,11,-1.0
remove,11,-1.0
close,11,-1.0
clear,10,-1.0
starts,10,-1.0
seconds,10,-1.0
card,10,-1.0
wrong,10,-1.0
adding,10,-1.0
often,10,-1.0
downloads,10,-1.0
