review,sentiment,Polaridad_Clustering,Topic_ID,Palabras_Clave,location,gender,date
The app is not loading when searching for music. Please fix issue. It fails to load when searching for music.,negativo,negativo,4,"time, android, payment, keeps, issue, money, several, problems, option, users","Rome, Italy",male,2022-11-28
New update randomly only plays left channel. So annoying,negativo,negativo,6,"update, search, payment, worse, method, phone, card, samsung, design, audio","Budapest, Hungary",male,2022-11-20
I hate every thing about apple the wont even let me cancel a simple subscription,negativo,negativo,0,"phone, android, account, stops, monthly, time, poor, issue, features, service","Oslo, Norway",male,2022-11-29
Constantly turns itself on. Have to force stop it all the time. Poor design. Only have it because Verizon have me free access.,negativo,negativo,0,"phone, android, account, stops, monthly, time, poor, issue, features, service","Edinburgh, United Kingdom",male,2022-11-28
"So far, it feels slow and laggy, especially on desktop. It makes the experience less enjoyable.",negativo,negativo,2,"access, stop, queue, load, downloaded, devices, cache, update, playing, android","Hamburg, Germany",male,2022-12-28
"For me, it works best only within Apple devices. It gets frustrating after a while.",negativo,negativo,2,"access, stop, queue, load, downloaded, devices, cache, update, playing, android","Brussels, Belgium",male,2022-12-07
"One issue is that it feels slow and laggy, especially on desktop.",negativo,negativo,2,"access, stop, queue, load, downloaded, devices, cache, update, playing, android","Birmingham, United Kingdom",male,2022-12-03
"In my experience, managing playlists is more difficult than it should be. It makes the experience less enjoyable.",negativo,negativo,4,"time, android, payment, keeps, issue, money, several, problems, option, users","Zurich, Switzerland",male,2022-11-27
"I wanted to like it, but it works best only within Apple devices. It ends up feeling clunky.",negativo,negativo,5,"unable, device, audio, bugs, slow, phones, service, family, fine, plan","Birmingham, United Kingdom",male,2022-12-13
"Personally, managing playlists is more difficult than it should be. It makes it harder to manage my music.",negativo,negativo,3,"problem, lossless, difficult, android, name, volume, help, internet, buggy, subscriptions","Prague, Czech Republic",male,2022-12-08
"In my experience, it feels slow and laggy, especially on desktop. It ends up feeling clunky.",negativo,negativo,5,"unable, device, audio, bugs, slow, phones, service, family, fine, plan","Amsterdam, Netherlands",male,2022-11-09
"Honestly, songs sometimes disappear or get duplicated. It slows things down.",negativo,negativo,0,"phone, android, account, stops, monthly, time, poor, issue, features, service","Dublin, Ireland",male,2022-11-23
"This app wouldn't let you play music. For playing music, sign in is required but this functionality is broken in Android app of Apple music. Tried 5 times but the app becomes unresponsive each time.",negativo,negativo,2,"access, stop, queue, load, downloaded, devices, cache, update, playing, android","Krakow, Poland",male,2022-12-18
The application is buggy. Always says that there's a problem with the network while Spotify works great with the same network (75mbps). I love the quality but please fix this asap.,negativo,negativo,3,"problem, lossless, difficult, android, name, volume, help, internet, buggy, subscriptions","Milan, Italy",male,2022-12-25
"I don't use Apple devices anymore, but when I need to log in, I still need a verification code from my trusted device. It's such a headache",negativo,negativo,5,"unable, device, audio, bugs, slow, phones, service, family, fine, plan","Milan, Italy",male,2022-12-04
I don't know when or how I subscribed to this app. Please return the money you took from my credit card and cancel any subscription. I am reporting to my local security agency. Please refund my money. I have no use for your app.,negativo,negativo,6,"update, search, payment, worse, method, phone, card, samsung, design, audio","Edinburgh, United Kingdom",male,2022-12-01
I don't want Apple Music on my cell phone!,negativo,negativo,0,"phone, android, account, stops, monthly, time, poor, issue, features, service","Helsinki, Finland",male,2022-12-08
"Swaps out the previously explicit version on new playlist and playlist imported from Spotify. Thanks for trying to save my innocence Apple, but give it a rest. Also playlist interaction sucks compared to Spotify. Literally the only thing good about this is the music quality. Spotify wins in every other aspect.",negativo,negativo,3,"problem, lossless, difficult, android, name, volume, help, internet, buggy, subscriptions","Valencia, Spain",male,2022-11-24
"This is the Second time I this, I started my subscription again and it tells me all my music is unavailable therefore I have to search each song again and manually add to library AGAIN, I'm not doing that again. Canceling my subscription after this month forever and switching to Amazon music. Thanks apple.",negativo,negativo,4,"time, android, payment, keeps, issue, money, several, problems, option, users","Frankfurt, Germany",male,2022-12-03
"NEVER TRUST PLATFORMS THAT MAKE YOU SET UP A PAYMENT METHOD WHEN YOU'RE ON A TRIAL PERIOD. I remember distinctly that I had cancelled my subscription way before my trial ended. That means I shouldn't have to pay the subscription amount. But guess what? On the day my trial ended, they conveniently deducted Rs. 119 through e-mandate from my account. And as an unsuspecting customer, I have no screenshot of me cancelling the subscription, which means I can't make any claims for my money.",negativo,negativo,1,"account, sign, player, email, security, trial, autoplay, function, auto, start","Milan, Italy",male,2022-12-25
Trying to cancel my subscription but it won't open up the Apple Music,negativo,negativo,0,"phone, android, account, stops, monthly, time, poor, issue, features, service","Prague, Czech Republic",male,2022-11-10
I can't sign in after creating an account. It's stuck on the Apple ID & Privacy screen. It doesn't let me press continue.,negativo,negativo,1,"account, sign, player, email, security, trial, autoplay, function, auto, start","Barcelona, Spain",male,2022-12-04
Where does all our money from our subscriptions go to? As much money as customers pay Apple you would think they would have a better support team and overall app.,negativo,negativo,3,"problem, lossless, difficult, android, name, volume, help, internet, buggy, subscriptions","Geneva, Switzerland",male,2022-12-14
"Where has all my money gone, spent over the years, pound after pound on buying music and videos now where is has it gone, do I get a refund ....",negativo,negativo,4,"time, android, payment, keeps, issue, money, several, problems, option, users","Frankfurt, Germany",male,2022-11-10
I can't create account because am using Android phone,negativo,negativo,0,"phone, android, account, stops, monthly, time, poor, issue, features, service","Birmingham, United Kingdom",male,2022-12-17
