reviewId,review,score,gender,location,date
8059,"I hope that, apple notes also available for Android.",4,male,"Rabat, Morocco",2018-03-20
8060,You just got me all on my video tube,4,male,"Mexico City, Mexico",2018-07-29
8062,Exceptional,4,male,"Quebec City, Canada",2018-11-10
8063,Better than spotify because u can download songs individually not in batches. Not a 5 star yet because their recommendation game isn't as strong yet,4,male,"Lusaka, Zambia",2018-05-17
8066,"Could you please develop something that means that I don't have to hold a song and drag it up past over a thousand songs in a playlist for instance, a move to top button. It would be really be helpful, or select multiple then move to top..... reordering is a drawn out process when it doesn't need to be 👌🏼",4,male,"Rabat, Morocco",2018-05-30
8068,Great even on android,4,male,"Delhi, India",2018-02-09
8077,superb👌🏻,4,male,"Houston, United States",2018-10-21
8079,It a nice app and it fast,4,male,"Washington DC, United States",2018-11-28
8081,Love you guys great music,4,male,"Rabat, Morocco",2018-05-08
8082,To downlod music,4,male,"Denver, United States",2018-09-21
8083,I like it,4,male,"Boston, United States",2018-12-16
8088,The music I love and grew up listening to. Amazing...,4,male,"Singapore, Singapore",2017-11-21
8089,I need a Podcast here 😊,4,male,"Ho Chi Minh City, Vietnam",2017-11-13
8090,somehow i can't seem to be able to access my 'replay' for the month of April.,4,male,"Quebec City, Canada",2018-07-29
8091,"It is good, high quality. But I need to renew my subscription even though I never had to at all.",4,male,"Harare, Zimbabwe",2018-06-06
8092,"as an iphone user trying android, apple music availability was more than wellcome. at least i didnt have to start over curating my playlist. somehow i cannot find audio only feature as its available in ip. not sure if that hardware relate algorythem that prevent it. just felt incomplete. but rest i found no issue. integration on auto and watch also work fine. if only they allow more personal data cross sharing (icloud as service please)",4,male,"Kumasi, Ghana",2018-05-31
8094,"Nobody likes commercials, whether they are music related or not. Fewer displays of Apple money makers would be appreciated and enjoyed.",4,male,"Tunis, Tunisia",2018-05-26
8095,I think am enjoying this app more thsn any app,4,male,"Berlin, Germany",2017-08-26
8099,"Works well. The Playlist creation and radio features are nice. wish the radio had more subgenre options (hardcore, ska) as the punk station seems pretty limited on those genres. Also wish this worked with ""hey google"".",4,male,"Seattle, United States",2018-09-29
8101,it's actually not that bad,4,male,"Casablanca, Morocco",2018-03-09
8102,Trio L,4,male,"Paris, France",2017-09-10
8103,"I have discovered something interesting, the app in windows has airplay to cast music to airplay devices, It would be awesome this feature arrive to android phones to use in airplay devices too.",4,male,"Johannesburg, South Africa",2018-06-17
8105,Good when it works,4,male,"Abuja, Nigeria",2018-06-15
8106,Good music quality,4,male,"Lyon, France",2017-05-28
8107,"Works as should,I love the Dolby Atmos sound quality on some songs",4,male,"Tunis, Tunisia",2018-04-30
8111,Excellent,4,male,"Helsinki, Finland",2017-05-10
8112,"Using Apple Music on a Samsung phone. I'm a traitor... Honestly, I just didn't wanna pay for Spotify Premium anymore lol. Good app, no crashing, just a takes a bit for songs to load when you first open the app.",4,male,"Milan, Italy",2017-05-25
8114,It has a bug I think it would be better if you fix that The app uses battery more than telegram even if still isn't logged in by me! Thanks for your supporting,4,male,"Washington DC, United States",2018-10-05
8116,I love this on iphone cuz it's less buggy but that's the marketing trick right? I mainly wish it had an auto install like on my old iphone,4,male,"Mexico City, Mexico",2018-08-28
8117,"I enjoy listening to my downloads when I'm in a offline area, but I always get a message saying I am offline. I thought when I play my downloaded music, it plays my internal memory without the need for Internet connection. Can anyone help?",4,male,"Helsinki, Finland",2017-06-30
8119,Should be available for Android TV,4,male,"Ho Chi Minh City, Vietnam",2017-12-09
8120,I love my apple music but it's not the same on my android device as it is in my iphone.,4,male,"Philadelphia, United States",2018-12-12
8121,"I switched from Tidal and it was almost perfect up until a few months ago when I started getting weird volume glitches. Switching apps will drop the volume to -50 unless I pause the song and then play it. Besides that issue I can't recommend this app enough, it truly it's the best thing to come from Apple since the iPod.",4,male,"Mombasa, Kenya",2018-06-29
8123,"I love the app but it crashes every time I open it. Please, fix this apple.",4,male,"Windhoek, Namibia",2018-04-12
8124,apple music is good,4,male,"Madrid, Spain",2017-06-28
8126,Good,4,male,"Bangkok, Thailand",2017-12-25
8129,"Lossless at this price? Count me in! The audio quality and collection is epic! 1 star subtracted for some UI/UX shenanigans. what do you mean I can't swipe left/right on the player screen to switch between songs? And it's also a pain to subscribe to the plan, you have to load money to your wallet and keep it filled with enough money for the next billing cycle.",4,male,"Lahore, Pakistan",2017-12-15
8130,"The Best Of All💯 Trust, there's this way it's switched smoothly to the next 🥷🔥",4,male,"Tijuana, Mexico",2018-09-25
8131,"Have to use an android device cause I killed my iPhone... This android
version of the app is a shame! Stops all the time after each song, gets 
killed every time I try to change the EQ while listening to music. Meh...",4,male,"Quebec City, Canada",2018-12-28
8133,Good,4,male,"Guadalajara, Mexico",2018-10-02
8134,Right,4,male,"Tokyo, Japan",2017-12-07
8135,Sound quality is better than Spotify when it's playing but there seems to be a wired thing where it sounds like to goes from wide stereo to like mono for a while then comes back to normal again. Then sometimes it gets quiet where volume is like very low and then gets loud again even while playing the same song. Only seems to do this on the Android version not on my iPhone 13 pro.,4,male,"Rabat, Morocco",2018-07-07
8140,"WILL GIVE YOU FULL OF 5 STAR IF YOU FIX THE CUSTOM EQ BUG. Device tested on Xiaomi Poco X6, custom EQ after being activated on one song, the next song back to default EQ/ EQ is not active during the next song session.",4,male,"Dublin, Ireland",2017-05-16
8141,"Sound quality is better than Spotify's highest quality option on premium, 99% of the same songs with better quality, and it's cheaper too. Only thing that could be better is it's interface, I liked that the search button was in the middle on Spotify, and sometimes I can't get back to my library without restarting the app but I am also only on android",4,male,"Ho Chi Minh City, Vietnam",2018-01-25
8143,This app is very good to use,4,male,"Madrid, Spain",2017-09-17
8144,"There are just a few things here and there that are a bit janky on android. Also the queue is a problem. If I play an album, then the play next option puts the items after the current song and not the end of the album.",4,male,"Osaka, Japan",2018-01-02
8147,Great music app love it.,4,male,"Denver, United States",2018-09-08
8153,This app is amazing,4,male,"Rabat, Morocco",2018-04-05
8154,"App is great and is probably the only time I've seen Apple treat Android users not like poop. Audio quality is superb comparing it to Spotify and yt music and has a very clean and easily navigateable user interface with that ""apple magic"" that I've come to love on my mac. Though I would like to see some other features like the new karaoke mode in the ios version and a wearos varient of the app on the Android version soon",4,male,"Vancouver, Canada",2018-09-28
8155,songs recommendation is terrible,4,male,"Cape Town, South Africa",2018-04-07
8164,A little bit of bass will do perfect but other wise credits to the app,4,male,"Cairo, Egypt",2018-03-01
8165,Please implement exclusive mode for bitperfect to bypass android 48khz resample,4,male,"Monterrey, Mexico",2018-08-19
8167,Doesn't let me hear censored lyrics,4,male,"Bali, Indonesia",2018-02-06
8171,Love the app well recorded but at the min its saying it's not installed when it is kinda confused,4,male,"Warsaw, Poland",2017-05-03
8172,Notice short hiccups/slight pauses during a song playing even when songs are downloaded. I have a galaxy S22 U,4,male,"Cairo, Egypt",2018-03-06
8173,good,4,male,"Hamburg, Germany",2017-07-19
8174,nice but there are some missing songs,4,male,"Addis Ababa, Ethiopia",2018-03-09
8177,Mid,4,male,"Brussels, Belgium",2017-08-09
8178,Only for iphone it's nice app,4,male,"Kathmandu, Nepal",2017-11-26
8179,"if you like music, you need this app that's all",4,male,"Delhi, India",2017-10-16
8182,Con las actualizaciones han mejorado el rendimiento y la estabilidad de la app. En general es un buen servicio y diría que más que competitivo para las otras opciones de streaming. Lo que podría mejorarse es el buscador y las recomendaciones. En ese sentido Spotify me sigue pareciendo mejor.,4,male,"Cancun, Mexico",2018-09-29
8184,The resing I don't know I've not tryd it,4,male,"Seville, Spain",2017-07-26
8185,Cant redeam iTunes CARD ???,4,male,"Dallas, United States",2018-08-27
8186,Great app with lossless support but the recommendation system of Spotify's is way better,4,male,"Birmingham, United Kingdom",2017-05-30
8188,"Good app, should have a free teir tho.",4,male,"Los Angeles, United States",2018-09-03
8190,"If gapless playback gets added, it'll be perfect. It's one thing Spotify does better",4,male,"Chicago, United States",2018-09-08
8191,"Apple music has superior music quality compared to apps like spotify. Dolby atmos support is also great. the lyric feature is aesthetically pleasing and the app works well on a whole. 2 things which I believe need changing are: the queuing shortcut shouldn't require aswipe across the whole screen, it has often happened when I've not swiped all the way across and it hasn't registered to add the song to the queue; another issue being that on samsung tablet, lyrics aren't fullscreen like web.",4,male,"Tel Aviv, Israel",2017-12-03
8197,Cool,4,male,"Seville, Spain",2017-06-22
8198,Wow,4,male,"Calgary, Canada",2018-12-15
8199,"Decent, still great sound quality. App is more functional on iOS, but it's still better in Android than on windows. Just wish we could navigate tracks on the standby screen",4,male,"Amsterdam, Netherlands",2017-05-04
8202,"Been using it for years, back when it was iTunes. Can't say I agree with some of the changes but it does what it's supposed to. Most of the time. My main issues are that it never updates the new 'For You' section, which is where I get a lot of recommendations these days. This section works fine on my PC but the app has the same suggestions from months ago. Also adding things to the queue needs to be done before the previous song is halfway done or it will freeze/crash the whole app.",4,male,"Tokyo, Japan",2018-02-03
8203,amazing and has almost every song but could have more,4,male,"Washington DC, United States",2018-07-30
8205,"Apple has done a good job in providing top-notch music listening experience with lossless and spatial audio. The lyrics shown during music play are also accurately synced and available in multiple languages. 1 star less because recommended songs, albums, recent hit lost not good enough. it's not suggesting good songs. I like Spotify music suggestion way better.",4,male,"Harare, Zimbabwe",2018-06-10
8208,the app is good i am enjoying the subscription but there is a problem i can't share lyrics to snapchat as i can send on Instagram stories pls also add support for snapchat,4,male,"Seattle, United States",2018-07-20
8210,This service very good and surprisingly cheap. But I have issues accessing the full feature set of the account I created with it.,4,male,"Boston, United States",2018-07-26
8212,good app,4,male,"Copenhagen, Denmark",2017-05-25
8215,Please fix the bug with playlist covers... The app never shows it permanently and always has to be loaded again.,4,male,"Shanghai, China",2018-01-24
8216,"Very good music app, the only downside is that you can't connect to ps5 like you can on Spotify",4,male,"Hong Kong, China",2017-11-23
8218,"la calidad de las canciones está muy bien, pero a la aplicación le hace falta ser mas intuitiva y mejorar otro aspectos. Ademas se pega mucho en. buffering",4,male,"Algiers, Algeria",2018-05-10
8219,I wish this showed the number of streams music have & the monthly listeners of artists.,4,male,"Busan, South Korea",2017-12-13
8222,App just started crashing.... what could i do to fix this,4,male,"Phuket, Thailand",2017-12-27
8224,I love the lossless quality so much and I'm glad that we have apple music on Android phone but can you pls release apple music also on Galaxy watch ?Thank you!,4,male,"Barcelona, Spain",2017-05-29
8225,not bad,4,male,"New York, United States",2018-11-30
8226,a really good option for music lovers,4,male,"Helsinki, Finland",2017-08-22
8227,"Just started using the app and service, and so far so good. Audio quality is good, and for the most part I find the app easy to use. As of now, my only real nitpick is that the battery on my phone seems to drain a little quicker using this app/service than the others I have tried. It's not a terrible drain, but definitely can stand to be improved.",4,male,"Brussels, Belgium",2017-06-08
8228,Bug report: when a sub is renewed the app is full bugy lose all settings and have heavy bugs with music previously downloaded. And sometimes the library is buged and not show anything. The space in memory of old downloads doesnt update and doesnt playback but the files are here. i dont know how this passes the quality control of apple. The quality of sound is amazing!,4,male,"Athens, Greece",2017-06-20
8233,quite good but few bugs and crashes randomly sometimes,4,male,"New York, United States",2018-09-09
8234,"Music selection is alright. Not nearly what Spotify provides. Missing a lot of the rare and older stuff. Won't play on my Echo 8 either which sucks. Overall it has a majority of the albums and singles I want, but could DEFINATELLY expand their library significantly and tweak a few functions of the app. Other than that it's pretty chill I guess.",4,male,"Hamburg, Germany",2017-07-17
8236,Great app. Some issues on Android that makes it so you occasionally can't see the current songs playing. But probably the widest selection of on-demand music aside from YouTube.,4,male,"Stockholm, Sweden",2017-09-22
8238,"Great app. Spotify premium Hi-Fi or Tidal Master are better choices, unless you use Apple Music premium. My only complaint, is that even on the latest beta, they still haven't included iTunes Match with any Android phone. That can only work on a iPhone or iPad. Since Apple includes Spatial Audio, and supports lossless audio, but hasn't released a Android version of iTunes is a bummer.",4,male,"Kuala Lumpur, Malaysia",2017-12-08
8240,"it's pretty great except that it ignores that my mobile wifi hotspot is set to metered (I use lossless on wifi which consumes insane amounts of data). YouTube Music streams with fewer skips on road trips with spotty coverage. Other than that, I really love this app. It works like on iPad OS, I don't feel it's scaled down though it probably is in unnoticeable ways.",4,male,"Stockholm, Sweden",2017-05-05
8241,Good,4,male,"Philadelphia, United States",2018-12-21
8248,The sound and beat of songs àre marvellously good❤💯,4,male,"Lusaka, Zambia",2018-05-29
8249,fix your discovery system and you're good,4,male,"San Francisco, United States",2018-12-17
8250,Hope it will support SRC bypass.,4,male,"Cancun, Mexico",2018-07-24
8251,it was very loud witch i lick,4,male,"Dar es Salaam, Tanzania",2018-03-19
8252,Some songs are not present in the app.,4,male,"Marseille, France",2017-09-07
8253,it's been cutting out even with good wifi other then that great,4,male,"Athens, Greece",2017-05-08
8259,Awesome,4,male,"Frankfurt, Germany",2017-07-05
8261,would love it if I could set app language without changing my system language,4,male,"Dakar, Senegal",2018-04-25
8262,Fair,4,male,"Rome, Italy",2017-05-31
8263,Sound quality 💯 Algorithm 🤔,4,male,"Denver, United States",2018-09-30
8264,Was so convenient when I switched to galaxy from iPhone,4,male,"Dar es Salaam, Tanzania",2018-06-14
8266,apple good app but constantly has issues opening search and radio whether 5 g or wifi how can the home screen open and search spins....,4,male,"Los Angeles, United States",2018-09-04
8267,"Why can't I use apple music for my alarms, luke spotify does ? Audio quality is exceptional, but recommendations have much room to improve.",4,male,"San Jose, United States",2018-10-26
8268,"it's good, just not the best",4,male,"Dubai, United Arab Emirates",2017-12-09
8269,"generally good service. However, it seems they have favored artists and tend to push those more readily than others, even in user made playlists. Also, has some trouble suggesting similar artists, particularly when source is lesser known (suggested Zach Bryan was similar to a Midwest emo band???). Pretty intuitive platform tho",4,male,"Abuja, Nigeria",2018-04-20
8270,Best music player just need to more music songs of local indian singer Also better Suggestion algorithms need to build as per user,4,male,"Madrid, Spain",2017-05-28
8271,"Works great. Happy they added the option to turn off crossfade. Now, please, please, add the option to turn autoplay OFF by default.",4,male,"Budapest, Hungary",2017-07-20
8273,Hip hop,4,male,"Berlin, Germany",2017-07-30
8276,"i see the developers have made noticeable changes, thank you, Im lookin for more improvements. rest, it is affordable and I'm happy with some updates till now !",4,male,"Denver, United States",2018-07-29
8277,Good 😊,4,male,"Tripoli, Libya",2018-04-03
8280,"Honestly, for its basic functionality as a music player, it does well on android (using samsung s23). There are a few features that it lacks, but they can be overlooked if you are willing to put in the effort. Lossless audio is a big plus over Spotify . Request to apple : Could you make it easier to download all music in your library and to clear the song queue with a single button.",4,male,"Johannesburg, South Africa",2018-05-25
8281,Best,4,male,"San Antonio, United States",2018-12-20
8282,عالیییییییییییییس,4,male,"Calgary, Canada",2018-10-18
8285,"Well, had my first real issue with app when Apple ID login did not work. Throughout the years I have been dedicated and addicted to it's services. I have youtube music too but Apple Music just has that extra something to it. I was about to leave and go to spotify/Amazon but decided to stay as my login was fixed the next day. Hoping that Apple continues to improve App experience.",4,male,"Mombasa, Kenya",2018-07-07
8286,"maybe not as fluid as the iOS version. and apple does not give you free version. but I think the price's reasonable, with the sound quality.",4,male,"Accra, Ghana",2018-07-17
8288,Lovely to listen,4,male,"Chennai, India",2018-01-10
8290,A bit clunky sometimes but good app and great service,4,male,"Madrid, Spain",2017-08-21
8291,"Apple Music has went through an immense transformation lately: in visuals (especially in the Now Playing tab), in quality, and in functionality and categorization. I can now honestly say that with Spatial Audio and the free addition of lossless tracks Apple Music is the best music streaming app.",4,male,"Chicago, United States",2018-08-03
8292,Once it's working it's good.,4,male,"Hanoi, Vietnam",2017-11-29
8294,I only got this app cuz of the taylor swift thing lol but it's good I'm sticking to spotify tho...,4,male,"Tripoli, Libya",2018-07-01
8295,Great.,4,male,"Pretoria, South Africa",2018-03-02
8297,can be a bit glitchy at times.,4,male,"Jeddah, Saudi Arabia",2017-11-20
8299,"the UX/UI is not as good as Spotify. The songs library is not anywhere near YouTube. But the sound quality you get is the best over in Bluetooth or wired. Using on Android phone. Best Rs. 100 spent on Apple music than in YouTube premium or Spotify premium just for the sake of quality of the songs. And why the album ""the winning"" by IU not available?? why Apple why?",4,male,"Budapest, Hungary",2017-06-15
8300,"In the favorites playlist, if a song becomes unavailable, then there should be an option for it to automatically skip said unavailable track. Stopping the music just to inform that the song is no longer available makes driving unsafe and dangerous. Fix this, please.",4,male,"Abuja, Nigeria",2018-03-26
8304,It's good for the most part but there are some small improvements that could be made to make it a 5.,4,male,"Phoenix, United States",2018-10-06
8307,love on the iphone though laggy when switching tabs on laptops,4,male,"Manila, Philippines",2018-01-18
8308,"Great, but has potential to be one of the best!",4,male,"Philadelphia, United States",2018-12-30
8311,It's great But I still prefer Spotify over lossless audio NO. 2🔸🔸WORLD BEST MUSIC APP ON ANDROID⭐,4,male,"Windhoek, Namibia",2018-03-29
8313,nothing special gets the job done needs work on the social side of it,4,male,"Harare, Zimbabwe",2018-02-26
8314,💪💪💪💪💪💪 good apo,4,male,"Beijing, China",2017-10-09
8316,"This is a good app, struggles occasionally with offline music, but other than that, highly recommended.",4,male,"San Diego, United States",2018-11-06
8320,my music wont play even thou i have an android n my bd gave me his apple music,4,male,"Singapore, Singapore",2017-10-12
8321,music algorithm for radio and Playlist could be better,4,male,"Beijing, China",2017-12-22
8322,"Spotify is better, but this is still good. Isn't apple satanic or sum like that?",4,male,"Beijing, China",2018-01-09
8323,pretty decent,4,male,"Johannesburg, South Africa",2018-07-13
8326,Ok,4,male,"Jerusalem, Israel",2017-10-16
8327,I like the app but there are a lot bugs,4,male,"Manila, Philippines",2017-10-02
8328,"Thres been some improvement that enhance my experience as a user, no laggy like they used to",4,male,"Kumasi, Ghana",2018-05-05
8331,"Lovely app, intuitive controls I love that I can swipe down on an album. It could do with better playlists and the lossless audio is a battery hog so I just turned that off",4,male,"Tripoli, Libya",2018-04-05
8332,Amazing,4,male,"Madrid, Spain",2017-05-27
8333,"Quick tip: Learn from Wynk. The wonderful app you just took down. BTW Apple music is hardly a 1 or 2 star app. Fix fast if you want 5 stars from your customers. Edit- Getting used to this app. Seems slowly Wynk lost songs and here we have all of them, pretty vast library! Let's give this sometime.",4,male,"Dar es Salaam, Tanzania",2018-06-09
8335,Nao e nada,4,male,"Budapest, Hungary",2017-06-02
8336,not able to purchase on android.........anybody please help,4,male,"San Jose, United States",2018-12-20
8337,Interesting,4,male,"Addis Ababa, Ethiopia",2018-03-10
8338,this is the place!! hot new joinz yuh peace yo,4,male,"Glasgow, United Kingdom",2017-09-13
8340,I had one issue with the app and Bluetooth to my car but reinstalling the app seemed to fix that. Since then I've had no issues. Still getting used to the app but it works well so far.,4,male,"Dallas, United States",2018-08-06
8343,Fantastic,4,male,"Barcelona, Spain",2017-08-03
8345,Please contact me because I can't make payments. I don't know why. I don't have to select a peyment method. I want to select upi payment but that option seems like grayed out,4,male,"Shanghai, China",2017-10-05
8347,I love this app is so realable,4,male,"Quebec City, Canada",2018-10-20
8350,The best music streaming app,4,male,"Denver, United States",2018-11-01
8351,"Works well on my device and good sound quality. Someday I'll make this regular but trial was already nice, sadly I have to stop for awhile.",4,male,"Lahore, Pakistan",2017-11-11
8352,Original,4,male,"Riyadh, Saudi Arabia",2018-02-17
8353,Less ads,4,male,"Accra, Ghana",2018-06-08
8355,"Almost Perfect. It's very close to the iPhone version, though I'm having an issue with Bluetooth connectivity as it keeps disconnecting my airpods every 10 mins or so. Hope this gets fixed soon.",4,male,"Edinburgh, United Kingdom",2017-06-27
8356,"Excellent app better than youtube music, however infinity play is broken needs fixing",4,male,"Prague, Czech Republic",2017-09-23
8358,"As an Apple person stuck with a Google device, natruly I went here, being a long time subscriber to the service. Overall, I have run into close to 0 issues, exluding a minor issue I noticed where within 5 to 10 seconds of the next song, you can hear the next song for a brief second before the song thats playing ends, making it the foreground noise, which really, just sounds really good switching songs, it sounds seamless. Overall, good for Apple users stuck with an Android product.",4,male,"Austin, United States",2018-10-05
8359,Must Force closed & restart way to much,4,male,"Calgary, Canada",2018-11-29
8363,AMIT KUMAR SHARMA,4,male,"Delhi, India",2018-02-05
8364,Cool as you like,4,male,"Houston, United States",2018-08-30
8365,I love the way the lyrics is been arranged,4,male,"Mumbai, India",2018-02-15
8368,"Not as good as the iOS version, but it gets the job done and works nonetheless",4,male,"Quebec City, Canada",2018-10-15
8369,Been using this app for months and I can say that I prefer this one over Spotify only because of their lossless quality music. Pair it up with good quality headphones like my DT 770 pro and wow. Spotify's music recommendation is still the best though.,4,male,"New York, United States",2018-09-08
8370,Music Data Base needs more frequent upgrades. Some shazamed music could not open in Apple Music.,4,male,"Denver, United States",2018-10-19
8371,Much better than Spotify,4,male,"Calgary, Canada",2018-09-26
8373,"The app works well. The only bug I encountered is that my Replay Playlist didn't load and I had to close and reopen the app. Performance can improve a bit, though.",4,male,"Oslo, Norway",2017-08-14
8380,"the favourite feature is not as responsive but other than that, it's amazing 👍",4,male,"Ottawa, Canada",2018-08-26
8389,"pretty good app, however sometimes it won't play lossless even on fast WiFi",4,male,"Warsaw, Poland",2017-07-27
8391,Gg hgUhh,4,male,"Harare, Zimbabwe",2018-05-01
8393,Why it always crash when i go to artist page.. must fix it with update app,4,male,"Amsterdam, Netherlands",2017-06-28
8394,Great but doesnt have the reccomendation quality of spotify,4,male,"Chicago, United States",2018-10-07
8395,The spatial and lossles audio are amazing. This app by far has the best sound quality than any other music app I have used. It is great for audio philes however u do have to pay monthly to use the app and it's quite pricey in my opinion.,4,male,"Seoul, South Korea",2017-11-29
8396,The best streaming service for those who want a library of their music to listen to and not be constantly marketed to. I've had positive experiences with their support team. The algorithmically generated content isn't as good as other services if that is something you care about.,4,male,"Casablanca, Morocco",2018-03-28
8398,"It is the best music platform in terms of the audio quality of the songs, however, i have had problems when i want to change the plan (individual to student), i get errors.",4,male,"Munich, Germany",2017-09-03
8399,"Great app and works well with Android especially phones that have true Dolby atmos built in equalizers, don't see that to much these days, and considering this is the moto g power and it has better sound then both the iphone 11 and 13 tested in real time, I don't like compromised sound quality, just wish it wasn't so demanding on space when many other apps offer the same audio quality and bits size, maybe it's the file conversion from apple to Android 🤷 otherwise sounds great",4,male,"Osaka, Japan",2017-10-25
8400,Excellent 👌,4,male,"Doha, Qatar",2018-02-15
8401,Takes so long time to load,4,male,"Seattle, United States",2018-11-06
8402,"It's great but not perfect,the app looks good and has probably the best interface of any music streaming app.The problem I have is just the windows app.Its slower than the android app and crashes frequently.i know this is only the android app but since most people don't own an Apple device,they will most likely use this app with the windows one and il be honest the experience on the windows one isn't great.One thing about the app tho,why can'twe swipe to change song?All the other app can do that",4,male,"Kuala Lumpur, Malaysia",2017-11-16
8404,Aaaa qua,4,male,"Riyadh, Saudi Arabia",2017-10-09
8405,"I like the app and the sound quality is great. What I would love to see is an option to add a song from the purchased songs playlist to another playlist without having to start back at the top and scroll down to where I was. All that is left of my iTunes collection is a very extensive playlist of all my purchased music. I'm trying to create playlists again like I had with iTunes, but whenever I add a song to a playlist, I have to start over from the top of the purchased playlist",4,male,"Copenhagen, Denmark",2017-09-15
8407,Yjgre,4,male,"Jakarta, Indonesia",2018-02-04
8408,needs optimization for smoothness,4,male,"Addis Ababa, Ethiopia",2018-06-25
8409,it's working in Iran fortunately. it's not powerful as Spotify,4,male,"Seattle, United States",2018-12-10
8410,UI needs to be improved with optimization and seamless user experience! Should bring Dolby Atmos for more devices! Hi-res Lossless music is bonkers!🥵,4,male,"Algiers, Algeria",2018-04-17
8411,8. Y 666,4,male,"Seoul, South Korea",2017-10-31
