Polaridad_Clustering,Topic_ID,Palabras_Clave
negativo,0,"family, trial, plan, error, code, card, account, android, password, email"
negativo,1,"update, random, subscriptions, autoplay, password, audio, list, volume, atmos, errors"
negativo,2,"phone, crashes, unable, data, audio, lyrics, samsung, pixel, call, update"
negativo,3,"keeps, time, feature, device, queue, sign, auto, issues, bugs, downloads"
negativo,4,"search, problem, devices, difficult, disappointed, issue, android, weeks, least, worse"
negativo,5,"money, buggy, recent, slow, help, laggy, features, poor, update, updates"
negativo,6,"payment, android, account, method, access, option, service, users, useless, downloaded"
positivo,0,"android, time, service, lyrics, audio, lossless, account, platform, platforms, problems"
positivo,1,"devices, interface, syncs, android, phone, user, clean, mixes, suggestions, personalized"
positivo,2,"audio, lossless, voice, commands, atmos, dolby, selection, options, spatial"
positivo,3,"search, specific, option, problem, download, bugs, update, trial, phone, issues"
positivo,4,"curated, powerful, stable, regular, player, enjoyable, android, users, payment, useful"
