review,sentiment,Polaridad_Clustering,Topic_ID,Palabras_Clave,location,gender,date
Being able to play 24 bit lossless audio and dolby atmos music on my s22 ultra and Galaxy buds 2 pro is amazing!,positivo,positivo,2,"audio, lossless, atmos, dolby, lyrics, options, hires, feature, india, spatial","Paris, France",male,2015-07-06
the best music app and has all the songs I need,positivo,positivo,0,"time, android, update, platforms, problems, offline, audio, sweet, galaxy, rate","Perth, Australia",female,2018-05-01
"Apple Music is my favortie music app. In my opinion, Spotify is worse because you have to pay to go ad free, apple music is free.",positivo,positivo,0,"time, android, update, platforms, problems, offline, audio, sweet, galaxy, rate","Edinburgh, United Kingdom",male,2015-11-02
I don't know why is 4.1 star only it should be 5 the best music app so far audiophiles are blessed,positivo,positivo,3,"search, specific, problem, download, option, phone, bugs, trial, edit, pixel","Ottawa, Canada",male,2016-11-08
some cover art not showing in 3D now playing screen in some playlists.,positivo,positivo,0,"time, android, update, platforms, problems, offline, audio, sweet, galaxy, rate","San Diego, United States",male,2017-05-16
"Ui is amazing. It still needs improvement though especially with the animated now playing screen, at the bottom corners. Sound quality and features are top-notch.",positivo,positivo,2,"audio, lossless, atmos, dolby, lyrics, options, hires, feature, india, spatial","Brussels, Belgium",male,2015-07-31
"How is this app so much better than Spotify? It launches quicker, never crashes, all iphone features are present, and doesn't drain my battery as much. Good job Apple, even though this is an android app!",positivo,positivo,1,"devices, interface, syncs, clean, mixes, suggestions, user, personalized, android, enjoyable","Krakow, Poland",male,2015-11-13
"There is a bug which appears after playing songs for 5 mins. It's a black bar appearing over the now playing bar. This appears after 5 mins and after closing the app, it goes away but then it appears again. Please fix this. Also I've noticed that in the stable version, playing similar songs after a song doesn't work. Please fix these issues because I love apple music because of lossless and I want to continue using it. But these bugs give me second thoughts.",positivo,positivo,3,"search, specific, problem, download, option, phone, bugs, trial, edit, pixel","Nadi, Fiji",female,2018-07-25
Works just like on iPhone with casting abilities. Dolby atmos is available too and works great.,positivo,positivo,2,"audio, lossless, atmos, dolby, lyrics, options, hires, feature, india, spatial","Mexico City, Mexico",male,2016-10-27
best of best music streaming app ever. the spatial audio will make you a more expensive vibe.,positivo,positivo,2,"audio, lossless, atmos, dolby, lyrics, options, hires, feature, india, spatial","New York, United States",male,2016-11-23
I am so impressed with the Apple Music app for Android. This app is nearly identical to the app for iOS and it's nothing short of excellent! I love it!,positivo,positivo,0,"time, android, update, platforms, problems, offline, audio, sweet, galaxy, rate","Bangkok, Thailand",male,2016-04-06
Your agent did a mistake on my account,positivo,positivo,6,"phone, account, android, selection, samsung, product, smooth, products, video, recommendation","Oslo, Norway",male,2015-10-20
I cant play my downloaded music after the recent update.,positivo,positivo,0,"time, android, update, platforms, problems, offline, audio, sweet, galaxy, rate","Medellín, Colombia",female,2018-01-14
Hi res lossless is awesome u will find many details which would be missing in any other platform.. done with perfection for audiophiles,positivo,positivo,1,"devices, interface, syncs, clean, mixes, suggestions, user, personalized, android, enjoyable","Lahore, Pakistan",male,2016-02-22
Love the way you can track your songs.,positivo,positivo,0,"time, android, update, platforms, problems, offline, audio, sweet, galaxy, rate","Seville, Spain",male,2015-07-30
Nothing beats the smart playlists. Apple music is the only streaming service that has them,positivo,positivo,0,"time, android, update, platforms, problems, offline, audio, sweet, galaxy, rate","Harare, Zimbabwe",male,2016-08-05
Can You Add A Click Wheel To The App?,positivo,positivo,0,"time, android, update, platforms, problems, offline, audio, sweet, galaxy, rate","Berlin, Germany",male,2015-09-11
"Been a subscriber to Apple Music for years. Seriously wish there was a download all button when switching to a new device but other than that, zero complaints from me.",positivo,positivo,1,"devices, interface, syncs, clean, mixes, suggestions, user, personalized, android, enjoyable","Toronto, Canada",male,2017-01-14
Google music has one major peoblem. I format phone often and the google music app said Limit Reached 5 devices. So now i had to call google to clear old devices EVERY TIME. Where as with Apple music i can do it on a laptop by myself. So much hassle free. This is why i switched to Apple music subscription from google music. I even gave suggestions to google and yet the same.,positivo,positivo,1,"devices, interface, syncs, clean, mixes, suggestions, user, personalized, android, enjoyable","Córdoba, Argentina",female,2017-11-10
Goo Good and hv more song but slow,positivo,positivo,1,"devices, interface, syncs, clean, mixes, suggestions, user, personalized, android, enjoyable","Guayaquil, Ecuador",female,2017-11-16
It's a decent app that doesn't crash often. However it WILL randomly stop playing music unfortunately.,positivo,positivo,4,"android, curated, powerful, voice, commands, stable, regular, service, player, device","San Francisco, United States",male,2017-05-30
Favorite music app and hands down all the way We'll always choose Apple music over everything,positivo,positivo,0,"time, android, update, platforms, problems, offline, audio, sweet, galaxy, rate","Barcelona, Spain",male,2015-09-13
Better than Spotify. Yes it doesn't have some features as Spotify but this is cheaper and more normal.,positivo,positivo,4,"android, curated, powerful, voice, commands, stable, regular, service, player, device","Los Angeles, United States",male,2016-10-16
Great app. Volume levels are fantastic. Need little improvement.,positivo,positivo,4,"android, curated, powerful, voice, commands, stable, regular, service, player, device","Lisbon, Portugal",male,2015-10-12
Thank god it finally exists on android. Now I can use the family plan my parents have once again. I don't like apple devices but their music and video services are great.,positivo,positivo,1,"devices, interface, syncs, clean, mixes, suggestions, user, personalized, android, enjoyable","Melbourne, Australia",female,2018-07-17
"I prefer Apple music over Spotify cause it's more organize and the sound quality is great. You can download albums in one go, create/organize playlist easily, CLEAN UI. But i hope they'd include podcasts just like spotify's. I've been using iTunes since 2010 and this feels like it but for streaming. But recently AM force closes, can be improve.",positivo,positivo,5,"platform, algorithm, didnt, service, clear, podcasts, issue, android, choice, audio","Jacksonville, United States",male,2016-12-18
I wish that apple make an launcher for Android to complete change the ui to ios !!!!! That would be fabulous!!!!!,positivo,positivo,4,"android, curated, powerful, voice, commands, stable, regular, service, player, device","Mombasa, Kenya",male,2016-07-02
This is my go to music streaming app. Decent (not great) sound quality on home theater. No commercials and plays pretty much anything I want if I search for it. Also builds good stations relevant to my searches. I don't like Apple but apply Music is a good streaming app.,positivo,positivo,1,"devices, interface, syncs, clean, mixes, suggestions, user, personalized, android, enjoyable","Santa Cruz, Bolivia",female,2018-02-22
It dropped Vultures first. I'll reinstall if that happens for Vultures 2 too,positivo,positivo,0,"time, android, update, platforms, problems, offline, audio, sweet, galaxy, rate","Montreal, Canada",male,2017-04-11
