Palabra,Frecuencia,Sentimiento_Promedio
premium,41,-1.0
listen,36,-1.0
spotify,33,-1.0
play,27,-1.0
playlist,25,-1.0
shuffle,15,-1.0
phone,13,-1.0
stop,13,-1.0
plays,12,-1.0
minutes,12,-1.0
playing,11,-1.0
hear,11,-1.0
listening,10,-1.0
button,9,-1.0
free,9,-1.0
user,8,-1.0
update,8,-1.0
remove,8,-1.0
feature,7,-1.0
money,7,-1.0
create,7,-1.0
screen,7,-1.0
back,7,-1.0
podcast,7,-1.0
podcasts,7,-1.0
album,6,-1.0
random,6,-1.0
skip,6,-1.0
start,6,-1.0
years,6,-1.0
playlists,6,-1.0
open,5,-1.0
order,5,-1.0
turn,5,-1.0
pick,5,-1.0
crashes,5,-1.0
episodes,5,-1.0
experience,5,-1.0
literally,5,-1.0
without,5,-1.0
lyrics,5,-1.0
subscription,4,-1.0
uninterrupted,4,-1.0
problems,4,-1.0
randomly,4,-1.0
youtube,4,-1.0
often,4,-1.0
past,4,-1.0
months,4,-1.0
force,4,-1.0
happened,4,-1.0
find,4,-1.0
downloading,4,-1.0
download,4,-1.0
home,4,-1.0
unless,4,-1.0
suddenly,4,-1.0
work,4,-1.0
account,4,-1.0
getting,4,-1.0
loading,4,-1.0
library,4,-1.0
adds,4,-1.0
gives,4,-1.0
happening,3,-1.0
hard,3,-1.0
issues,3,-1.0
whatever,3,-1.0
works,3,-1.0
albums,3,-1.0
internet,3,-1.0
gone,3,-1.0
full,3,-1.0
loud,3,-1.0
okay,3,-1.0
option,3,-1.0
kind,3,-1.0
load,3,-1.0
stupid,3,-1.0
bluetooth,3,-1.0
crashing,3,-1.0
people,3,-1.0
must,3,-1.0
page,3,-1.0
dislike,3,-1.0
notifications,3,-1.0
might,3,-1.0
made,3,-1.0
edit,3,-1.0
artists,3,-1.0
reason,3,-1.0
recent,3,-1.0
restart,3,-1.0
company,3,-1.0
bottom,3,-1.0
trying,3,-1.0
smart,3,-1.0
speak,3,-1.0
similar,3,-1.0
settings,3,-1.0
skipping,3,-1.0
bisa,3,-1.0
buggy,3,-1.0
price,3,-1.0
click,3,-1.0
service,3,-1.0
alone,3,-1.0
wanna,3,-1.0
android,3,-1.0
usually,3,-1.0
played,3,-1.0
delete,3,-1.0
constantly,2,-1.0
prefer,2,-1.0
quality,2,-1.0
rather,2,-1.0
completely,2,-1.0
primium,2,-1.0
chose,2,-1.0
samsung,2,-1.0
seem,2,-1.0
searched,2,-1.0
choices,2,-1.0
restricted,2,-1.0
promblem,2,-1.0
session,2,-1.0
speaker,2,-1.0
blue,2,-1.0
starting,2,-1.0
stuff,2,-1.0
state,2,-1.0
starts,2,-1.0
stars,2,-1.0
someone,2,-1.0
skips,2,-1.0
spanish,2,-1.0
sound,2,-1.0
single,2,-1.0
cancel,2,-1.0
cause,2,-1.0
recommend,2,-1.0
remember,2,-1.0
atmos,2,-1.0
audio,2,-1.0
anyone,2,-1.0
version,2,-1.0
view,2,-1.0
weekly,2,-1.0
appears,2,-1.0
alphabetical,2,-1.0
