Palabra,Frecuencia,Sentimiento_Promedio
spotify,1636,0.028117359413202935
premium,1269,-0.5224586288416075
listen,880,-0.2590909090909091
play,809,-0.6637824474660075
experience,536,0.1455223880597015
playlist,528,-0.5833333333333334
free,507,-0.3136094674556213
listening,447,0.18568232662192394
without,319,-0.4169278996865204
playlists,294,-0.17006802721088435
update,270,-0.6296296296296297
money,248,-0.8064516129032258
playing,246,-0.5934959349593496
back,229,-0.6157205240174672
adds,226,-0.2743362831858407
button,223,-0.9282511210762332
version,214,-0.37383177570093457
years,209,-0.06220095693779904
shuffle,199,-0.8190954773869347
podcasts,190,-0.05263157894736842
download,189,-0.14285714285714285
create,188,-0.7872340425531915
minutes,186,-0.8709677419354839
phone,183,-0.3333333333333333
stop,177,-0.7401129943502824
easy,175,0.8628571428571429
skip,172,-0.8953488372093024
subscription,171,-0.52046783625731
works,159,0.5471698113207547
quality,156,0.5
work,152,-0.47368421052631576
getting,151,-0.7483443708609272
features,150,-0.6666666666666666
find,145,0.0896551724137931
service,145,-0.034482758620689655
plays,142,-0.676056338028169
favorite,137,0.5912408759124088
user,136,-0.4852941176470588
apps,136,-0.014705882352941176
streaming,135,0.45185185185185184
discover,128,-0.234375
hear,127,-0.2125984251968504
library,123,-0.6585365853658537
people,122,-0.5737704918032787
open,121,-0.7520661157024794
recommend,121,0.47107438016528924
issue,121,-0.7355371900826446
devices,118,0.11864406779661017
artists,117,-0.1282051282051282
podcast,117,-0.5042735042735043
youtube,116,-0.3793103448275862
feature,116,-0.5689655172413793
remove,114,-0.7719298245614035
platform,114,0.45614035087719296
stars,111,0.06306306306306306
option,110,-0.38181818181818183
crashing,106,-0.6981132075471698
paying,104,-0.7115384615384616
offline,103,-0.1262135922330097
lyrics,102,0.11764705882352941
recommendations,100,0.08
simple,99,0.7373737373737373
sound,98,0.40816326530612246
trying,96,-0.6875
long,96,-0.25
users,96,-0.7708333333333334
account,95,-0.5368421052631579
screen,94,-0.6808510638297872
crashes,93,-0.8064516129032258
literally,89,-0.5730337078651685
made,88,-0.4090909090909091
less,86,-0.6744186046511628
month,86,-0.5813953488372093
reliable,85,0.011764705882352941
worth,84,0.23809523809523808
harder,82,-1.0
personalized,80,0.225
useful,78,0.717948717948718
working,77,-0.5584415584415584
audio,76,0.05263157894736842
playback,76,-0.13157894736842105
full,76,-0.5526315789473685
limited,75,-0.8933333333333333
repeat,75,-0.84
available,73,-0.0136986301369863
order,72,-0.7777777777777778
list,72,-0.3611111111111111
random,72,-0.8333333333333334
click,71,-0.7183098591549296
downloaded,70,-0.4
application,70,0.3142857142857143
paid,68,-0.6764705882352942
hard,68,-0.7941176470588235
stupid,68,-0.9411764705882353
plan,67,-0.5522388059701493
artist,66,-0.2727272727272727
life,65,0.6923076923076923
albums,64,-0.71875
week,64,-0.03125
search,64,-0.34375
world,64,0.5625
bottom,64,-0.84375
selection,64,0.4375
smart,63,-0.746031746031746
player,62,-0.06451612903225806
played,62,-0.5806451612903226
look,62,-0.5161290322580645
pick,62,-0.5806451612903226
show,62,-0.3225806451612903
choice,61,-0.2459016393442623
skips,61,-0.8032786885245902
mins,59,-0.864406779661017
unusable,59,-0.9661016949152542
greedy,59,-1.0
gives,58,0.0
reason,58,-0.7931034482758621
constantly,58,-0.7586206896551724
issues,57,-0.47368421052631576
start,57,-0.6842105263157895
recently,57,-0.7894736842105263
randomly,56,-0.8214285714285714
mobile,56,-0.6071428571428571
hour,56,-0.7142857142857143
single,56,-0.6428571428571429
come,55,-0.38181818181818183
help,55,-0.16363636363636364
amount,55,-0.6727272727272727
removed,55,-0.8545454545454545
added,55,-0.6363636363636364
place,55,0.05454545454545454
months,55,-0.4909090909090909
fixed,54,-0.2962962962962963
edit,54,-0.4074074074074074
completely,54,-0.9259259259259259
queue,54,-0.8518518518518519
turn,54,-0.4444444444444444
spot,53,0.5471698113207547
options,53,-0.05660377358490566
data,53,-0.16981132075471697
force,53,-0.8113207547169812
updates,53,-0.660377358490566
album,53,-0.4339622641509434
friends,52,0.7692307692307693
switch,50,-0.72
home,50,-0.44
select,50,-0.72
wanna,50,-0.48
fast,50,0.64
limit,49,-0.673469387755102
support,49,-0.3469387755102041
