review,sentiment,Polaridad_Clustering,Topic_ID,Palabras_Clave,location,gender,date
this is very good for every song for me,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Rio de Janeiro, Brazil",female,2012-10-07
The selection for classic music is Outstanding. highly recommended for those that haven't used Spotify yet.,positivo,positivo,4,"devices, podcasts, access, subscriber, seamless, option, enjoyable, downloads, lyrics, download","Birmingham, United Kingdom",male,2009-04-05
one of the most favourite musical apps of mine.,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Shenzhen, China",male,2010-06-08
Best music player app out there!!! I highly recommend even without a premium subscription!!!,positivo,positivo,2,"useful, favourite, queue, personal, worth, plans, affordable, extensive, internet, obscure","Casablanca, Morocco",male,2010-09-16
Recent update made it so my car stereo won't connect anymore.,positivo,positivo,1,"interface, offline, podcasts, personalized, recommendations, time, mode, adfree, plenty, massive","Fortaleza, Brazil",male,2012-05-07
"pretty good but when I shut down my phone or restart it, all my downloaded music need re-download even tho they already are and they show has not downloaded if I dont re-download them, i also need to clear the memory so it doesn't use twice the space. But otherwise it's crazy good and I almost never stop using it.",positivo,positivo,3,"friends, cost, keeps, feature, lists, shuffle","Manila, Philippines",male,2009-12-28
"spotify lets me listen to music for free and recomends new artist, songs, and podcasts that i might find intrest in. spotify is by far the best music app",positivo,positivo,4,"devices, podcasts, access, subscriber, seamless, option, enjoyable, downloads, lyrics, download","Dublin, Ireland",male,2009-01-20
"Easy listening and easy to use, love it.",positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Berlin, Germany",male,2009-05-10
Brilliant app to find music you like but never heard before,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Houston, United States",male,2012-04-07
"I always use it, it's The best music app in my opinion",positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Salvador, Brazil",female,2012-10-29
"So farthe free trial has been great. you can listen to what you want, make playlists, and it's easy to explore music. Edit: 05/2025 Highly recommended. my favorite music app",positivo,positivo,3,"friends, cost, keeps, feature, lists, shuffle","Lagos, Nigeria",male,2011-02-16
"playlists are better than all other competitors. Thank you, however the premium is a bit high. if u can reduce the amount it would be easy for all",positivo,positivo,5,"recommendations, personalized, phone, variety, money, genres, wide, playing, pandora, genre","Budapest, Hungary",male,2009-02-21
Spotify is the only genius app I have ever experienced for online music.,positivo,positivo,4,"devices, podcasts, access, subscriber, seamless, option, enjoyable, downloads, lyrics, download","Monterrey, Mexico",male,2012-01-05
if u want a Playlist for studying this Is the app for u,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Abu Dhabi, United Arab Emirates",male,2010-05-10
"I love spotify, this is my favorite music app. I have had an account since maybe 2015, I love the updates such as full books for subscribers!! If you want some random music, you just click your spotify DJ. They're amazing, for real if you haven't given spotify a chance yet, you're missing out",positivo,positivo,1,"interface, offline, podcasts, personalized, recommendations, time, mode, adfree, plenty, massive","Rio de Janeiro, Brazil",female,2013-01-16
This is great appication. All songs available appilaction,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Montreal, Canada",male,2012-04-14
Very nice application for music platform.I love Spotify. Good app,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Melbourne, Australia",female,2013-06-07
I'm listening to Laho rn so just collect the five stars,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Taipei, Taiwan",male,2010-08-02
"Updated again after 9 years of subscription. thank you, Spotify. :)",positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Seoul, South Korea",male,2010-07-25
"By the main Spotify, editor and promoter.And, , if not dedicated to the..thanks..!@!.",positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Monterrey, Mexico",male,2012-02-24
bloody brilliant. can listen to all my favorite songs,positivo,positivo,3,"friends, cost, keeps, feature, lists, shuffle","Nadi, Fiji",female,2013-02-16
What can I say ? it's too good.,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Ho Chi Minh City, Vietnam",male,2010-07-04
Spotify has become the only music source for me. has a huge selection of music. anything you can think of you can find here. is an outstanding product end service and for the money you can't beat it it's easy on your wallet I can restore some peace of mind highly recommend Spotify over any of the brand or service out there it's a very outstanding product I'm happy to have it on my phone and my laptop I use it all the time not a day goes by I don't use it.,positivo,positivo,5,"recommendations, personalized, phone, variety, money, genres, wide, playing, pandora, genre","Christchurch, New Zealand",female,2013-07-21
have been using this app for 6 years 0 complaints prices are rising but you definitely get your money's worth! beets xm all day and twice on sundays,positivo,positivo,2,"useful, favourite, queue, personal, worth, plans, affordable, extensive, internet, obscure","Christchurch, New Zealand",female,2013-08-16
been using it for years. best music app ever,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Guadalajara, Mexico",male,2012-03-07
"good music, good podcasts. great listening no matter what you are looking for.",positivo,positivo,2,"useful, favourite, queue, personal, worth, plans, affordable, extensive, internet, obscure","São Paulo, Brazil",female,2013-02-04
cant beat it BLOODY FELL IN LOVE WITH THE APP 5YRS AGO AND TGATS IT I DOWNLOAD IT EVERY NEW PHONE I GET NEVER HAD A MAJOR ISSUE GET THE APP YA WONT REGRET IT,positivo,positivo,3,"friends, cost, keeps, feature, lists, shuffle","Toronto, Canada",male,2012-04-15
a free fire mein gana Sun sakte hain my Suna sakte aap,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Rome, Italy",male,2009-01-17
my mb over at kb is overd don's not app unintali app prank intail app verygood app yes 5 star app okay bye and bye VERY GOOD APP 1 OFFLINE MUSIC OKAY,positivo,positivo,1,"interface, offline, podcasts, personalized, recommendations, time, mode, adfree, plenty, massive","Johannesburg, South Africa",male,2011-06-06
been using for about 12 years. don't plan on stopping,positivo,positivo,2,"useful, favourite, queue, personal, worth, plans, affordable, extensive, internet, obscure","Phoenix, United States",male,2012-04-16
Perfect! That's all I have to say about the service I receive.... Perfect.,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Stockholm, Sweden",male,2009-07-01
great experience. it is the best way of choosing my daily mood and much it with a list of songs and it is always perfect.,positivo,positivo,1,"interface, offline, podcasts, personalized, recommendations, time, mode, adfree, plenty, massive","Adelaide, Australia",female,2013-10-17
smooth ui and you have all type of music any type anytime anyone listen there favourite song,positivo,positivo,2,"useful, favourite, queue, personal, worth, plans, affordable, extensive, internet, obscure","Tripoli, Libya",male,2010-12-10
"really good songs you can turn off phone, tablet and the music will still be playing.",positivo,positivo,5,"recommendations, personalized, phone, variety, money, genres, wide, playing, pandora, genre","Guayaquil, Ecuador",female,2013-01-06
I once wanted to be a DJ so I think now it's time for me to be a DJ,positivo,positivo,1,"interface, offline, podcasts, personalized, recommendations, time, mode, adfree, plenty, massive","Port Moresby, Papua New Guinea",female,2013-05-28
"love it,it's the best streaming platform for me",positivo,positivo,6,"reliable, platform, student, trouble, weekly, fast, playback, discover, bands, ease","Phoenix, United States",male,2011-10-21
"the cookie dialog box is popping up frequently, even if you've already filled the form. Is it a strategy to make us tap ""accept all"" accidentally?",positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Jerusalem, Israel",male,2009-12-15
Easy listening. variety of I like to hear.>,positivo,positivo,5,"recommendations, personalized, phone, variety, money, genres, wide, playing, pandora, genre","Lahore, Pakistan",male,2010-05-22
great app but why can't we just play song without switching on my data it pisses me off,positivo,positivo,1,"interface, offline, podcasts, personalized, recommendations, time, mode, adfree, plenty, massive","Mumbai, India",male,2009-11-13
YO JUST SAW THAT UPDATE WHERE YOU CAN PRESS & HOLD THE DJ BUTTON FOR A REQUEST so useful when he doesn't get the vibe right - he plays too much of one artist,positivo,positivo,4,"devices, podcasts, access, subscriber, seamless, option, enjoyable, downloads, lyrics, download","Tunis, Tunisia",male,2011-01-08
"Through Spotify premium, I have been able to improve my music listening experience, ads free, personal dj and all. Spotify provides the best listening experience",positivo,positivo,2,"useful, favourite, queue, personal, worth, plans, affordable, extensive, internet, obscure","Canberra, Australia",female,2013-05-04
very few ads with good quality without premium,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Busan, South Korea",male,2009-11-17
it was a good day so I was playing a song,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Doha, Qatar",male,2010-07-23
se necesita la radio antigua. esa si era radio.,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","San Diego, United States",male,2012-02-12
awesome app! premium service is amazing and totally worth it.,positivo,positivo,2,"useful, favourite, queue, personal, worth, plans, affordable, extensive, internet, obscure","Salvador, Brazil",male,2012-04-26
loving the AI options and the DJ so dope,positivo,positivo,4,"devices, podcasts, access, subscriber, seamless, option, enjoyable, downloads, lyrics, download","Valencia, Spain",male,2008-10-17
100/ 100 good app but please remove ads,positivo,positivo,0,"choice, enjoyable, catalog, care, service, anytime, enjoy","Riyadh, Saudi Arabia",male,2010-01-08
"easy to create playlists for a variety of uses, accessing music for streaming, listening and making podcasts",positivo,positivo,5,"recommendations, personalized, phone, variety, money, genres, wide, playing, pandora, genre","Toronto, Canada",male,2011-08-28
