review,sentiment,Polaridad_Clustering,Topic_ID,Palabras_Clave,location,gender,date
"worst!!!!! I can't even play songs of my choice without a premium what kind of app is this, how in the world people are paying for it.",negativo,negativo,3,"keeps, update, worse, device, choice, plan, lyrics, multiple, mobile, updates","Valencia, Spain",male,2021-08-02
Why are there songs that I can't play when I'm watching ads. And there are sooo many ads,negativo,negativo,0,"time, devices, inconsistent, playback, minute, problem, waste, worse, page, error","Seville, Spain",male,2021-04-22
"Amazing overall experience. I love the recommendations, I'm finding new favorite songs all the time!",negativo,negativo,4,"issue, useless, download, uninterrupted, recommendations, skips, greedy, personalized, trash, payment","Vienna, Austria",male,2021-10-16
nah this app is making me angry just ads every time and some stupid problems,negativo,negativo,5,"money, button, create, feature, update, random, disruptive, users, phone, bottom","Bangalore, India",male,2022-08-13
stop changing the UI....... if it's not an improvement why apply the change?,negativo,negativo,0,"time, devices, inconsistent, playback, minute, problem, waste, worse, page, error","Johannesburg, South Africa",male,2022-11-17
everytime I am trying choose any song it is showing 'explore premium' why this is happening?? this is happening again and again,negativo,negativo,4,"issue, useless, download, uninterrupted, recommendations, skips, greedy, personalized, trash, payment","Stockholm, Sweden",male,2021-11-19
it's a worst app to listen song. don't recommended this app,negativo,negativo,0,"time, devices, inconsistent, playback, minute, problem, waste, worse, page, error","Berlin, Germany",male,2021-07-21
"For me this app is going to far, not only that it has ads but I can't even play the songs, and when I play on the song it said I need to pay for premium, like why do we need to pay for everything when we just wanna listen to music? in my opinion Spotify is the not the worst but also not the best",negativo,negativo,0,"time, devices, inconsistent, playback, minute, problem, waste, worse, page, error","Lyon, France",male,2021-04-08
the app is good before last update after its so bad,negativo,negativo,3,"keeps, update, worse, device, choice, plan, lyrics, multiple, mobile, updates","Warsaw, Poland",male,2021-01-11
nahi dena to mat do salo premium ke liye likhe kya hote ho,negativo,negativo,2,"features, podcast, podcasts, limited, platforms, user, shuffle, advertisements, repetitive, behaves","Geneva, Switzerland",male,2021-05-03
worst app only ads this is worst app for music,negativo,negativo,0,"time, devices, inconsistent, playback, minute, problem, waste, worse, page, error","Dubai, United Arab Emirates",male,2022-06-17
"worst please, yt music is much better than this",negativo,negativo,0,"time, devices, inconsistent, playback, minute, problem, waste, worse, page, error","Lisbon, Portugal",male,2020-12-03
i hacked my app idk it was unusable normally,negativo,negativo,1,"unusable, money, account, list, service, rating, stop, repeat, useless, fine","Oslo, Norway",male,2021-05-12
HORRIBLEEEE. You can't even play music without paying. don't get this app.,negativo,negativo,0,"time, devices, inconsistent, playback, minute, problem, waste, worse, page, error","Kuala Lumpur, Malaysia",male,2022-04-26
"so I cnt choose the song I want to listen now, unless I pay premium",negativo,negativo,0,"time, devices, inconsistent, playback, minute, problem, waste, worse, page, error","Birmingham, United Kingdom",male,2020-12-05
fed up of adds ......they say 30 min uninterrupted music but after each song they give adds,negativo,negativo,4,"issue, useless, download, uninterrupted, recommendations, skips, greedy, personalized, trash, payment","Kathmandu, Nepal",male,2021-12-03
this app is turned a worst app now. we can't forword or select a song by our own decision .,negativo,negativo,0,"time, devices, inconsistent, playback, minute, problem, waste, worse, page, error","Mumbai, India",male,2022-03-15
This app sucks so don't bother downloading it. I can't play any songs without a premium because I reached the daily limit to what songs I can choose to listen to. They are clearly saying come back tomorrow so ya I ain't coming back to y'all,negativo,negativo,1,"unusable, money, account, list, service, rating, stop, repeat, useless, fine","Valencia, Spain",male,2021-02-07
why on earth would the average user want a create button where the library button was. what.,negativo,negativo,5,"money, button, create, feature, update, random, disruptive, users, phone, bottom","Lisbon, Portugal",male,2021-05-11
"worst music app, there will be ad after every song which takes atleast 1 min and there is no skip button for ads",negativo,negativo,5,"money, button, create, feature, update, random, disruptive, users, phone, bottom","Tripoli, Libya",male,2022-12-20
