Palabra,Frecuencia,Sentimiento_Promedio
premium,389,-1.0
spotify,346,-1.0
play,307,-1.0
listen,254,-1.0
playlist,206,-1.0
free,125,-1.0
back,102,-1.0
button,100,-1.0
skip,95,-1.0
playing,91,-1.0
without,90,-1.0
money,85,-1.0
update,83,-1.0
create,81,-1.0
playlists,81,-1.0
listening,80,-1.0
minutes,78,-1.0
shuffle,72,-1.0
experience,70,-1.0
stop,68,-1.0
version,65,-1.0
phone,64,-1.0
features,61,-1.0
adds,59,-1.0
years,56,-1.0
subscription,55,-1.0
getting,54,-1.0
library,54,-1.0
crashing,50,-1.0
plays,49,-1.0
issue,49,-1.0
podcasts,48,-1.0
user,46,-1.0
feature,46,-1.0
paying,44,-1.0
podcast,43,-1.0
screen,42,-1.0
work,42,-1.0
download,41,-1.0
remove,40,-1.0
open,40,-1.0
people,40,-1.0
trying,39,-1.0
artists,39,-1.0
hear,38,-1.0
service,38,-1.0
long,37,-1.0
option,37,-1.0
order,36,-1.0
crashes,36,-1.0
click,36,-1.0
account,34,-1.0
less,33,-1.0
youtube,33,-1.0
find,32,-1.0
downloaded,32,-1.0
stupid,31,-1.0
users,31,-1.0
random,30,-1.0
recently,30,-1.0
randomly,29,-1.0
month,29,-1.0
repeat,28,-1.0
pick,28,-1.0
apps,28,-1.0
completely,28,-1.0
limited,27,-1.0
mins,27,-1.0
literally,27,-1.0
made,26,-1.0
whenever,26,-1.0
switch,26,-1.0
devices,26,-1.0
look,26,-1.0
start,25,-1.0
removed,25,-1.0
offline,25,-1.0
unusable,25,-1.0
bottom,24,-1.0
list,24,-1.0
harder,24,-1.0
smart,23,-1.0
constantly,23,-1.0
hour,23,-1.0
stars,23,-1.0
paid,23,-1.0
reason,23,-1.0
played,23,-1.0
working,23,-1.0
basic,22,-1.0
plan,22,-1.0
artist,22,-1.0
load,22,-1.0
fixed,22,-1.0
come,21,-1.0
queue,21,-1.0
added,21,-1.0
amount,21,-1.0
select,21,-1.0
updates,21,-1.0
unless,21,-1.0
skips,21,-1.0
hours,21,-1.0
greedy,21,-1.0
android,20,-1.0
year,20,-1.0
longer,20,-1.0
uninterrupted,19,-1.0
company,19,-1.0
help,19,-1.0
albums,19,-1.0
least,19,-1.0
available,19,-1.0
edit,19,-1.0
gone,19,-1.0
search,19,-1.0
limit,19,-1.0
auto,19,-1.0
arent,19,-1.0
months,19,-1.0
payment,19,-1.0
works,18,-1.0
discover,18,-1.0
data,18,-1.0
days,18,-1.0
multiple,18,-1.0
started,18,-1.0
force,18,-1.0
issues,18,-1.0
slow,18,-1.0
ridiculous,18,-1.0
ends,18,-1.0
soon,18,-1.0
recommendations,18,-1.0
might,18,-1.0
platforms,18,-1.0
uninstalled,17,-1.0
latest,17,-1.0
streaming,17,-1.0
show,17,-1.0
single,17,-1.0
turn,17,-1.0
review,17,-1.0
repetitive,17,-1.0
support,17,-1.0
takes,17,-1.0
reinstalling,17,-1.0
wait,17,-1.0
week,17,-1.0
often,16,-1.0
